arm,mode,KRT,year,treatment,obs,HWAM,error,abs_error,SRADA
BOTH13P8,both,0.2,2019,W1,9250,10629.0,1379.0,1379.0,19.8
BOTH13P8,both,0.2,2019,W2,10725,10629.0,-96.0,96.0,19.8
BOTH13P8,both,0.2,2019,W3,12490,10629.0,-1861.0,1861.0,19.8
BOTH13P8,both,0.2,2019,W4,12030,10629.0,-1401.0,1401.0,19.8
BOTH13P8,both,0.2,2020,W1,9275,14193.0,4918.0,4918.0,19.8
BOTH13P8,both,0.2,2020,W2,11100,14192.0,3092.0,3092.0,19.8
BOTH13P8,both,0.2,2020,W3,12030,14192.0,2162.0,2162.0,19.8
BOTH13P8,both,0.2,2020,W4,11595,14192.0,2597.0,2597.0,19.8
BOTH13P8,both,0.3,2019,W1,9250,10484.0,1234.0,1234.0,19.8
BOTH13P8,both,0.3,2019,W2,10725,10484.0,-241.0,241.0,19.8
BOTH13P8,both,0.3,2019,W3,12490,10484.0,-2006.0,2006.0,19.8
BOTH13P8,both,0.3,2019,W4,12030,10484.0,-1546.0,1546.0,19.8
BOTH13P8,both,0.3,2020,W1,9275,14165.0,4890.0,4890.0,19.8
BOTH13P8,both,0.3,2020,W2,11100,14164.0,3064.0,3064.0,19.8
BOTH13P8,both,0.3,2020,W3,12030,14164.0,2134.0,2134.0,19.8
BOTH13P8,both,0.3,2020,W4,11595,14165.0,2570.0,2570.0,19.8
BOTH13P8,both,0.4,2019,W1,9250,10341.0,1091.0,1091.0,19.8
BOTH13P8,both,0.4,2019,W2,10725,10341.0,-384.0,384.0,19.8
BOTH13P8,both,0.4,2019,W3,12490,10341.0,-2149.0,2149.0,19.8
BOTH13P8,both,0.4,2019,W4,12030,10341.0,-1689.0,1689.0,19.8
BOTH13P8,both,0.4,2020,W1,9275,14114.0,4839.0,4839.0,19.8
BOTH13P8,both,0.4,2020,W2,11100,14113.0,3013.0,3013.0,19.8
BOTH13P8,both,0.4,2020,W3,12030,14113.0,2083.0,2083.0,19.8
BOTH13P8,both,0.4,2020,W4,11595,14113.0,2518.0,2518.0,19.8
BOTH13P8,both,0.5,2019,W1,9250,10198.0,948.0,948.0,19.8
BOTH13P8,both,0.5,2019,W2,10725,10198.0,-527.0,527.0,19.8
BOTH13P8,both,0.5,2019,W3,12490,10198.0,-2292.0,2292.0,19.8
BOTH13P8,both,0.5,2019,W4,12030,10198.0,-1832.0,1832.0,19.8
BOTH13P8,both,0.5,2020,W1,9275,14067.0,4792.0,4792.0,19.8
BOTH13P8,both,0.5,2020,W2,11100,14066.0,2966.0,2966.0,19.8
BOTH13P8,both,0.5,2020,W3,12030,14067.0,2037.0,2037.0,19.8
BOTH13P8,both,0.5,2020,W4,11595,14067.0,2472.0,2472.0,19.8
BOTH13P8,both,0.6,2019,W1,9250,10057.0,807.0,807.0,19.8
BOTH13P8,both,0.6,2019,W2,10725,10057.0,-668.0,668.0,19.8
BOTH13P8,both,0.6,2019,W3,12490,10057.0,-2433.0,2433.0,19.8
BOTH13P8,both,0.6,2019,W4,12030,10057.0,-1973.0,1973.0,19.8
BOTH13P8,both,0.6,2020,W1,9275,13830.0,4555.0,4555.0,19.8
BOTH13P8,both,0.6,2020,W2,11100,13830.0,2730.0,2730.0,19.8
BOTH13P8,both,0.6,2020,W3,12030,13830.0,1800.0,1800.0,19.8
BOTH13P8,both,0.6,2020,W4,11595,13830.0,2235.0,2235.0,19.8
BOTH13P8,both,0.7,2019,W1,9250,9916.0,666.0,666.0,19.8
BOTH13P8,both,0.7,2019,W2,10725,9916.0,-809.0,809.0,19.8
BOTH13P8,both,0.7,2019,W3,12490,9916.0,-2574.0,2574.0,19.8
BOTH13P8,both,0.7,2019,W4,12030,9916.0,-2114.0,2114.0,19.8
BOTH13P8,both,0.7,2020,W1,9275,13594.0,4319.0,4319.0,19.8
BOTH13P8,both,0.7,2020,W2,11100,13594.0,2494.0,2494.0,19.8
BOTH13P8,both,0.7,2020,W3,12030,13594.0,1564.0,1564.0,19.8
BOTH13P8,both,0.7,2020,W4,11595,13594.0,1999.0,1999.0,19.8
BOTH13P8,both,0.8,2019,W1,9250,9777.0,527.0,527.0,19.8
BOTH13P8,both,0.8,2019,W2,10725,9777.0,-948.0,948.0,19.8
BOTH13P8,both,0.8,2019,W3,12490,9777.0,-2713.0,2713.0,19.8
BOTH13P8,both,0.8,2019,W4,12030,9777.0,-2253.0,2253.0,19.8
BOTH13P8,both,0.8,2020,W1,9275,13664.0,4389.0,4389.0,19.8
BOTH13P8,both,0.8,2020,W2,11100,13664.0,2564.0,2564.0,19.8
BOTH13P8,both,0.8,2020,W3,12030,13664.0,1634.0,1634.0,19.8
BOTH13P8,both,0.8,2020,W4,11595,13664.0,2069.0,2069.0,19.8
BOTH13P8,both,0.9,2019,W1,9250,9638.0,388.0,388.0,19.8
BOTH13P8,both,0.9,2019,W2,10725,9638.0,-1087.0,1087.0,19.8
BOTH13P8,both,0.9,2019,W3,12490,9638.0,-2852.0,2852.0,19.8
BOTH13P8,both,0.9,2019,W4,12030,9638.0,-2392.0,2392.0,19.8
BOTH13P8,both,0.9,2020,W1,9275,13558.0,4283.0,4283.0,19.8
BOTH13P8,both,0.9,2020,W2,11100,13558.0,2458.0,2458.0,19.8
BOTH13P8,both,0.9,2020,W3,12030,13558.0,1528.0,1528.0,19.8
BOTH13P8,both,0.9,2020,W4,11595,13558.0,1963.0,1963.0,19.8
BOTH13P8,both,1.0,2019,W1,9250,9500.0,250.0,250.0,19.8
BOTH13P8,both,1.0,2019,W2,10725,9500.0,-1225.0,1225.0,19.8
BOTH13P8,both,1.0,2019,W3,12490,9500.0,-2990.0,2990.0,19.8
BOTH13P8,both,1.0,2019,W4,12030,9500.0,-2530.0,2530.0,19.8
BOTH13P8,both,1.0,2020,W1,9275,13382.0,4107.0,4107.0,19.8
BOTH13P8,both,1.0,2020,W2,11100,13382.0,2282.0,2282.0,19.8
BOTH13P8,both,1.0,2020,W3,12030,13382.0,1352.0,1352.0,19.8
BOTH13P8,both,1.0,2020,W4,11595,13382.0,1787.0,1787.0,19.8
