arm,mode,KRT,period,RMSE_kg_ha,MAE_kg_ha,Bias_kg_ha,improvement_vs_M15_13p8_pct,improvement_vs_H0TT_pct
BOTH13P8,both,0.5,2019,1564.1228372477656,1399.75,-925.75,41.11426735196836,47.46456751671678
BOTH13P8,both,0.5,2020,3241.163872746949,3066.75,3066.75,-22.022583350851427,-8.863537919804358
BOTH13P8,both,0.5,ALL8,2544.761629308333,2233.25,1070.5,4.195406276340419,14.527075764829794
BOTH13P8,both,0.6,2019,1651.491068701251,1470.25,-1066.75,37.82504850240921,44.53006153329614
BOTH13P8,both,0.6,2020,3018.118205107282,2830.0,2830.0,-13.625411952189323,-1.3719264338476487
BOTH13P8,both,0.6,ALL8,2432.7412778591975,2150.125,881.625,8.412722403620663,18.289592026445817
BOTH13P8,both,0.7,2019,1745.8886705629313,1540.75,-1207.75,34.271189551264875,41.35945451887877
BOTH13P8,both,0.7,2020,2798.0302893285484,2594.0,2594.0,-5.339593307399555,6.0203406978857075
BOTH13P8,both,0.7,ALL8,2332.0699764372425,2067.375,693.125,12.202772136091642,21.670918756617198
BOTH13P8,both,0.8,2019,1844.7771545636617,1610.25,-1346.75,30.54825891425522,38.03800868938369
BOTH13P8,both,0.8,2020,2863.0461924321094,2664.0,2664.0,-7.787296900017176,3.836600069274353
BOTH13P8,both,0.8,ALL8,2408.3434400018614,2137.125,658.625,9.331246526563021,19.10906152907615
BOTH13P8,both,0.9,2019,1948.5687696358063,1679.75,-1485.75,26.640736339493678,34.55187751342808
BOTH13P8,both,0.9,2020,2764.6883187802564,2558.0,2558.0,-4.084342557963525,7.140223868750724
BOTH13P8,both,0.9,ALL8,2391.696233847434,2118.875,536.125,9.957976670514618,19.66820442638216
BOTH13P8,both,1.0,2019,2055.731317560736,1748.75,-1623.75,22.606305669014507,30.952524146046134
BOTH13P8,both,1.0,2020,2602.7027298560242,2382.0,2382.0,2.0140532042328165,12.580962132740305
BOTH13P8,both,1.0,ALL8,2345.217767074094,2065.375,379.125,11.707787173327313,21.229313499755115
PRFT13P8,prft,0.0,2019,1277.0987628214193,1136.25,-203.75,51.920082923307184,57.10507242081696
PRFT13P8,prft,0.0,2020,3532.678268679445,3373.25,3373.25,-32.99744950147858,-18.65486280856102
PRFT13P8,prft,0.0,ALL8,2656.20001129433,2254.75,1584.75,0.0,10.784106572478372
PRFT13P8,prft,0.1,2019,1293.8325819054025,1136.25,-290.75,51.29009199593612,56.54302038645054
PRFT13P8,prft,0.1,2020,3497.7261542322035,3336.75,3336.75,-31.681580429171415,-17.480898459365747
PRFT13P8,prft,0.1,ALL8,2637.052426479231,2236.5,1523.0,0.720863817998729,11.427231668101681
PRFT13P8,prft,0.2,2019,1316.403718469376,1136.25,-378.75,50.44033909826277,55.784905746865014
PRFT13P8,prft,0.2,2020,3463.2359145746914,3300.5,3300.5,-30.38309991148233,-16.32244746452712
PRFT13P8,prft,0.2,ALL8,2619.820771541443,2218.375,1460.875,1.3695971537610305,12.006004909564181
PRFT13P8,prft,0.3,2019,1344.367044374415,1170.25,-466.75,49.38758231089219,54.84567937339348
PRFT13P8,prft,0.3,2020,3428.38642804454,3264.0,3264.0,-29.07109455111906,-15.151930160462056
PRFT13P8,prft,0.3,ALL8,2603.9543246762223,2217.125,1398.625,1.9669334536539362,12.538923826280538
PRFT13P8,prft,0.4,2019,1376.9917392635296,1213.75,-553.75,48.15933538858242,53.74988790815877
PRFT13P8,prft,0.4,2020,3392.787202286639,3226.5,3226.5,-27.730863182753318,-13.956230771178662
PRFT13P8,prft,0.4,ALL8,2589.122558899057,2220.125,1336.375,2.5253163206857785,13.037090089849206
PRFT13P8,prft,0.5,2019,1414.6767298573905,1257.75,-641.75,46.74057963097298,52.48413228345311
PRFT13P8,prft,0.5,2020,3338.78761678547,3169.75,3169.75,-25.697899352034273,-12.142503926544299
PRFT13P8,prft,0.5,ALL8,2564.060549207058,2213.75,1264.0,3.4688450303248706,13.87886765789889
PRFT13P8,prft,0.6,2019,1456.7093910591775,1301.75,-729.75,45.15814378190056,51.072348002785766
PRFT13P8,prft,0.6,2020,3056.9718268247093,2871.25,2871.25,-15.088164062430243,-2.6769337976290113
PRFT13P8,prft,0.6,ALL8,2394.4810502486753,2086.5,1070.75,9.85313455059142,19.574668592404326
PRFT13P8,prft,0.7,2019,1502.1809977496055,1345.25,-816.75,43.4462393132205,49.545057136427175
PRFT13P8,prft,0.7,2020,2954.451133459479,2762.0,2762.0,-11.228488852381835,0.7665099244162481
PRFT13P8,prft,0.7,ALL8,2343.6434509114224,2053.625,972.625,11.767056661919188,21.28219130353228
PRFT13P8,prft,0.8,2019,1551.7859871773555,1389.25,-904.75,41.57872221297103,47.87893507052786
PRFT13P8,prft,0.8,2020,2914.673352195748,2719.25,2719.25,-9.730944198568368,2.102557766792019
PRFT13P8,prft,0.8,ALL8,2334.883348263891,2054.25,907.25,12.096854968156777,21.576423808950977
PRFT13P8,prft,0.9,2019,1604.068343307105,1432.75,-991.75,39.610408234074804,46.122886168796796
PRFT13P8,prft,0.9,2020,2874.7791219500673,2676.5,2676.5,-8.229015500576951,3.442516873349404
PRFT13P8,prft,0.9,ALL8,2327.8090825924705,2054.625,842.375,12.363185276165975,21.814032772709655
PRFT13P8,prft,1.0,2019,1659.917844352545,1476.75,-1079.75,37.50779921336987,44.24702474568723
PRFT13P8,prft,1.0,2020,2835.537559264557,2634.25,2634.25,-6.7516582790329105,4.76055431766593
PRFT13P8,prft,1.0,ALL8,2323.3166486727546,2055.5,777.25,12.532315383108743,21.964923708673567
RGFIL13P8,rgfill,0.0,2019,1277.0987628214193,1136.25,-203.75,51.920082923307184,57.10507242081696
RGFIL13P8,rgfill,0.0,2020,3532.678268679445,3373.25,3373.25,-32.99744950147858,-18.65486280856102
RGFIL13P8,rgfill,0.0,ALL8,2656.20001129433,2254.75,1584.75,0.0,10.784106572478372
RGFIL13P8,rgfill,0.1,2019,1287.8294724069642,1136.25,-262.75,51.51609566557367,56.744651579496676
RGFIL13P8,rgfill,0.1,2020,3467.212172625148,3304.75,3304.75,-30.532797149399254,-16.45600119277103
RGFIL13P8,rgfill,0.1,ALL8,2615.345579459816,2220.5,1521.0,1.538078143995133,12.156316730257073
RGFIL13P8,rgfill,0.2,2019,1301.149587864516,1136.25,-321.75,51.014623058054894,56.29725831240451
RGFIL13P8,rgfill,0.2,2020,3433.147025689404,3269.0,3269.0,-29.25032042359183,-15.311828123841908
RGFIL13P8,rgfill,0.2,ALL8,2596.1017651471216,2202.625,1473.625,2.262564787729351,12.80267396222762
RGFIL13P8,rgfill,0.3,2019,1316.9805427568017,1136.25,-380.75,50.418622951701025,55.76553149269192
RGFIL13P8,rgfill,0.3,2020,3461.1346766631314,3298.25,3298.25,-30.3039929954886,-16.251871522660355
RGFIL13P8,rgfill,0.3,ALL8,2618.57699905884,2217.25,1458.75,1.4164224107941645,12.047780480976026
RGFIL13P8,rgfill,0.4,2019,1335.233032095896,1156.75,-439.75,49.731457479918646,55.152470677715826
RGFIL13P8,rgfill,0.4,2020,3437.3195589005104,3273.25,3273.25,-29.407406983089025,-15.451974301351884
RGFIL13P8,rgfill,0.4,ALL8,2607.4904601934786,2215.0,1416.75,1.8338058464624436,12.420152842125967
RGFIL13P8,rgfill,0.5,2019,1355.8092601837473,1186.25,-498.75,48.95680843239362,54.461360609038586
RGFIL13P8,rgfill,0.5,2020,3435.051455218684,3271.0,3271.0,-29.322017943401423,-15.375793706705407
RGFIL13P8,rgfill,0.5,ALL8,2611.3020937838655,2228.625,1386.125,1.690306351914608,12.292128486001138
RGFIL13P8,rgfill,0.6,2019,1378.6051827843967,1215.75,-557.75,48.09859284231306,53.695695902813945
RGFIL13P8,rgfill,0.6,2020,3246.1240734143234,3072.0,3072.0,-22.209323831473494,-9.030140107982184
RGFIL13P8,rgfill,0.6,ALL8,2493.779636415375,2143.875,1257.125,6.11476448265693,16.239448336669522
