year,dtr,n_points,rmse,bias
2017,11.0,24,0.7237418074636265,0.06470218667368144
2017,9.0,24,0.800004697093706,-0.2038966580555588
2017,8.0,24,1.1935399862232194,0.8702034629386882
2017,10.0,24,0.8490444112440894,0.14036757258730517
2017,9.0,24,0.8971646138975803,-0.28583518752841935
2017,10.0,24,0.7621815183956784,0.30761108387557606
2017,8.0,24,1.4663071534032381,1.0794906531268103
2017,10.0,24,2.2367978756703795,1.0992712260022315
2017,7.0,24,1.0325500937120875,0.6526742248751031
2017,7.0,24,0.9615692341321029,0.6524002669495923
2017,7.0,24,0.949300879441995,0.11036295887405378
2017,11.0,24,1.171295900719752,-0.2677961092529723
2017,12.0,24,0.6100440154764334,0.11595421601301108
2017,6.0,24,2.802215847719186,-0.7759440464144269
2017,11.0,20,1.3975453016310666,0.08502768180721106
2017,8.0,24,1.0635468630494118,0.2829075567153618
2017,9.0,24,0.6174038049411381,-0.04239424725134766
2017,12.0,24,1.4492395282014012,0.23324154704197872
2017,8.0,24,0.709520612381287,-0.34590477649327056
2017,12.0,24,0.8904117582554829,0.020548780705270293
2017,11.0,24,1.1226746249726758,0.051323695625859145
2017,14.0,24,2.056663143366147,0.5319435325086093
2017,13.0,24,0.8005614377622549,-0.10431767155541054
2017,14.0,24,0.9348798358246632,0.025219482687778367
2017,9.0,24,1.4600192726827135,0.31741120858483224
2017,11.0,24,2.3351714534237,-0.7123175476430522
2017,12.0,24,1.1616846019376232,0.4163849771677244
2017,9.0,24,0.9922622158937436,0.3928746196958497
2017,5.0,24,1.2298329826287844,0.36481494176987866
2017,8.0,24,1.082785769310915,-0.11897670973483547
2017,3.0,24,1.4030254969311313,0.22516991711408116
2017,15.0,24,1.6373968919358286,-0.4212345945683887
2017,7.0,24,0.7873663409153988,0.11745527679245393
2017,12.0,24,0.910206396444631,-0.3211645141909516
2017,11.0,24,1.8107664255853184,-1.038402153979632
2017,7.0,24,1.4642269859532462,0.3589983528813834
2017,12.0,23,1.4782047551311241,1.00775306739284
2017,14.0,24,1.6914471028346363,-0.7108541716850104
2017,8.0,24,0.7135624274956078,-0.23125773536118613
2017,12.0,24,0.852139044090949,0.14752146388318352
2017,12.0,24,0.8756104510508681,-0.5249072909705642
2017,12.0,24,0.8684258783788731,0.21918514102740558
2017,9.0,24,1.2456259781506955,0.5869489585574272
2017,9.0,24,1.0977735658348795,-0.45936434377535723
2017,8.0,24,2.299072886423313,0.32819397134627587
2017,10.0,24,0.9957912593937448,-0.05346695794693165
2017,5.0,24,1.560601824654266,0.3665068756524971
2017,11.0,24,1.443265759131312,-0.3161089846200831
2017,13.0,24,1.3540107238974424,-0.8691162027036182
2017,12.0,24,1.1427630429666586,-0.2895109720689491
2017,6.0,24,2.494895048803605,-1.2314049048497668
2017,8.0,24,0.7680986265750152,0.4231197911803724
2017,8.0,24,0.6779629213806326,0.5019294743694386
2017,12.0,23,0.9685992377791263,0.08518212124984452
2017,12.0,24,1.3051828729859918,0.00984935466690858
2017,13.0,24,0.7417864352870558,0.16267574254122405
2017,12.0,24,1.5707497135549475,1.0789056919364803
2017,11.0,24,7.092390604625724,2.121791235509559
2017,10.0,24,1.3282821041917106,0.5836524966418125
2017,10.0,24,0.9436145131801206,0.37090955221149907
2017,10.0,23,1.3254245536833207,0.28723488789981916
2017,9.0,22,0.8153932027662022,-0.018873976754145746
2017,5.0,24,1.5103577298075996,0.19950127157282763
2017,9.0,24,1.1210857557336167,0.19659837297266045
2017,10.0,24,0.6148818894042145,-0.19364935368535954
2017,8.0,24,1.2734453716626686,0.6579470014646508
2017,6.0,24,1.998801000752577,0.3447418863087924
2017,12.0,24,0.8148838331665906,-0.06633636475453786
2017,12.0,24,1.008513209561366,0.052767241588115375
2017,10.0,24,0.5842710633138523,-0.05125892488044226
2017,5.0,24,0.686594929747894,0.18020323033588545
