date,year,dtr_c,srad,clouds,sclear,sndn_h,obs_sunset_h,obs_gap_h,tmax_c,tmin_c,official_ts_c,observed_near_sunset_c,sunset_error_c,dtr_cloud_x
2021-06-04,2021,8.0,17.16,0.47776478986031923,32.858757255012094,19.55780057052538,19.36277777777778,0.19475908305555556,33.0,25.0,30.858639092096734,26.0,4.858639092096734,0.0
2021-06-05,2021,15.0,19.93,0.39456735528991405,32.9186081625043,19.56733627044394,19.360000000000003,0.20709332555555557,32.0,17.0,27.976578966328535,17.0,10.976578966328535,0.07891347105798253
2021-06-06,2021,10.0,24.89,0.2451859184362175,32.97500749911059,19.576350005956854,19.357222222222223,0.21899168972222222,23.0,13.0,20.31245088584393,21.0,-0.6875491141560701,0.0
2021-06-07,2021,12.0,24.77,0.2500289787024329,33.02794280923552,19.58483501226523,19.354166666666668,0.23044224472222222,28.0,16.0,24.768995887224047,26.0,-1.2310041127759526,0.0
2021-06-08,2021,17.0,24.71,0.2529643135327081,33.077402388703554,19.592784851607632,19.351111111111113,0.241433275,37.0,20.0,32.41486064781992,29.0,3.4148606478199213,0.5565214897719576
2021-06-09,2021,10.0,16.49,0.5021642614520634,33.12337528859868,19.600193430251807,19.348055555555554,0.25195330499999996,31.0,21.0,28.298541458676674,23.0,5.298541458676674,0.0
2021-06-10,2021,11.0,23.76,0.2836004789605574,33.16585131928341,19.607055014840363,19.345,0.26199112305555555,32.0,21.0,29.024000434551425,25.0,4.024000434551425,0.0
2021-06-11,2021,10.0,21.99,0.3377467698472665,33.204821054520956,19.61336424800236,19.341666666666665,0.2715358033333333,28.0,18.0,25.29087472357466,27.0,-1.7091252764253397,0.0
2021-06-12,2021,9.0,17.69,0.4678142838682249,33.24027583562532,19.61911616314477,19.33833333333333,0.28057672694444447,27.0,18.0,24.558777227431733,25.0,-0.4412227725682669,0.0
2021-06-13,2021,5.0,15.63,0.5302385671119032,33.272207775565235,19.62430619834084,19.334999999999997,0.289103605,22.0,17.0,20.642257214777572,20.0,0.6422572147775725,0.0
2021-06-14,2021,11.0,19.09,0.42673722385591917,33.30060976295105,19.628930209235804,19.331666666666667,0.29710649666666666,23.0,12.0,20.01001196848333,21.0,-0.9899880315166705,0.0
2021-06-15,2021,11.0,32.1,0.036772932680072645,33.325475465836625,19.632984480895,19.328333333333333,0.3045758302777778,26.0,15.0,23.00742334691835,25.0,-1.9925766530816489,0.0
2021-06-16,2021,13.0,29.92,0.10276246607115624,33.34679933527261,19.63646573852433,19.32472222222222,0.31150242055555555,31.0,18.0,27.460692772126094,28.0,-0.5393072278739055,0.0
