date,year,month,n_hours,tmax_c,tmin_c,dtr_c,dtr_bin,observed_tmax_solar_h,tmax_minus_1h_c,tmax_minus_2h_c,tmax_minus_3h_c,norm_drop_1h,norm_drop_2h,norm_drop_3h,htemp_daily_rmse,htemp_daily_bias
2020-10-19,2020,10,24,19.0,9.0,10.0,10-<14.5,14.583333333333334,0.0,0.0,1.0,0.0,0.0,0.1,1.9653716435881627,-0.2006772810455888
2020-10-20,2020,10,24,19.0,6.0,13.0,10-<14.5,14.583333333333334,0.0,1.0,2.0,0.0,0.07692307692307693,0.15384615384615385,1.8619593919961508,-0.19951693215934238
2020-10-21,2020,10,24,16.0,6.0,10.0,10-<14.5,15.083333333333334,0.0,1.0,3.0,0.0,0.1,0.3,0.6872316771093749,0.20319323262135838
2020-10-22,2020,10,24,17.0,7.0,10.0,10-<14.5,14.583333333333334,0.0,1.0,2.0,0.0,0.1,0.2,1.0173152391000801,0.2801625485960077
2020-10-23,2020,10,24,16.0,7.0,9.0,<10,14.6,0.0,1.0,2.0,0.0,0.1111111111111111,0.2222222222222222,1.238963778180398,-0.182781107921096
2020-10-24,2020,10,24,10.0,5.0,5.0,<10,1.1,0.0,1.0,1.0,0.0,0.2,0.2,2.5837235457661363,-0.34548115878345964
2020-10-25,2020,10,24,11.0,5.0,6.0,<10,15.1,0.0,1.0,2.0,0.0,0.16666666666666666,0.3333333333333333,0.7750377217419904,0.3566137048703695
2020-10-26,2020,10,24,12.0,3.0,9.0,<10,15.1,0.0,1.0,3.0,0.0,0.1111111111111111,0.3333333333333333,0.7881570982521665,-0.11682952642908546
2020-10-27,2020,10,24,13.0,3.0,10.0,10-<14.5,15.1,1.0,2.0,3.0,0.1,0.2,0.3,1.9703039823345807,0.16428726198185925
2020-10-28,2020,10,24,12.0,3.0,9.0,<10,0.6000000000000001,6.0,7.0,8.0,0.6666666666666666,0.7777777777777778,0.8888888888888888,2.2248274762458853,-0.837465163272895
2020-10-29,2020,10,24,7.0,4.0,3.0,<10,12.1,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.7064552854144904,-0.1006385037626959
2020-10-30,2020,10,24,10.0,3.0,7.0,<10,14.1,0.0,1.0,2.0,0.0,0.14285714285714285,0.2857142857142857,0.9885303748816995,0.579869231773588
2020-10-31,2020,10,24,10.0,2.0,8.0,<10,13.6,0.0,1.0,1.0,0.0,0.125,0.125,1.1534263811224739,-0.09862561538185742
2020-11-01,2020,11,24,11.0,1.0,10.0,10-<14.5,15.1,0.0,2.0,3.0,0.0,0.2,0.3,0.9896273346194358,-0.41127353631031327
2020-11-02,2020,11,24,10.0,2.0,8.0,<10,14.6,0.0,1.0,2.0,0.0,0.125,0.25,0.8791017982278638,0.01562728787231275
2020-11-03,2020,11,24,12.0,2.0,10.0,10-<14.5,14.6,0.0,2.0,3.0,0.0,0.2,0.3,1.2398632370371474,0.4087004431184527
2020-11-04,2020,11,24,10.0,2.0,8.0,<10,12.6,0.0,1.0,1.0,0.0,0.125,0.125,1.3557645163066128,-0.8283497350643816
2020-11-05,2020,11,24,10.0,2.0,8.0,<10,12.6,0.0,1.0,1.0,0.0,0.125,0.125,1.7678488484510502,0.20982242967334372
2020-11-06,2020,11,23,9.0,0.0,9.0,<10,15.083333333333334,1.0,2.0,3.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.6274427760897895,-0.10403638586164253
2020-11-07,2020,11,24,9.0,0.0,9.0,<10,15.083333333333334,0.0,2.0,4.0,0.0,0.2222222222222222,0.4444444444444444,1.4448548558250234,-0.4331435872462823
2020-11-08,2020,11,24,11.0,0.0,11.0,10-<14.5,15.083333333333334,0.0,2.0,3.0,0.0,0.18181818181818182,0.2727272727272727,0.9552735749861905,-0.16834046729240462
2020-11-09,2020,11,24,9.0,1.0,8.0,<10,15.583333333333332,0.0,1.0,3.0,0.0,0.125,0.375,0.9119460633717267,0.14227213907352496
2020-11-10,2020,11,24,10.0,2.0,8.0,<10,15.083333333333334,2.0,3.0,4.0,0.25,0.375,0.5,1.0427945107547718,0.15119360934311593
2020-11-11,2020,11,24,8.0,1.0,7.0,<10,14.083333333333334,0.0,1.0,2.0,0.0,0.14285714285714285,0.2857142857142857,1.0202088990889588,-0.21434307852026704
2020-11-12,2020,11,24,7.0,0.0,7.0,<10,14.083333333333334,0.0,1.0,2.0,0.0,0.14285714285714285,0.2857142857142857,0.8712189138836083,-0.2171958445453156
2020-11-13,2020,11,24,11.0,2.0,9.0,<10,13.066666666666666,0.0,1.0,2.0,0.0,0.1111111111111111,0.2222222222222222,1.7287624655134646,0.6278370535138172
2020-11-14,2020,11,24,5.0,1.0,4.0,<10,13.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0497317717391572,-0.6392200211491862
2020-11-15,2020,11,24,3.0,-1.0,4.0,<10,17.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.4815382728126523,-1.1407982574603466
2020-11-16,2020,11,24,3.0,0.0,3.0,<10,14.566666666666666,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0836061533267753,-0.502598261294178
2020-11-17,2020,11,21,0.0,-3.0,3.0,<10,5.566666666666666,0.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,1.7697200004274982,0.47860817660369703
2020-11-18,2020,11,24,-4.0,-6.0,2.0,<10,3.55,0.0,1.0,1.0,0.0,0.5,0.5,0.9752929272085452,-0.40603251499262777
