year,date,TMIN_source,Guo_TMAX,POWER_TMAX,Guo_TMIN,POWER_TMIN,Guo_TMEAN,POWER_TMEAN,Guo_DTR,POWER_DTR
2019,2019-06-04,black_curve,31.76967425890653,32.57,18.519478670496426,17.93,25.14457646470148,25.25,13.250195588410104,14.64
2019,2019-06-05,black_curve,31.456677512723616,30.58,19.21502699534735,19.75,25.335852254035483,25.165,12.241650517376264,10.829999999999998
2019,2019-06-06,black_curve,32.70866449745528,33.97,19.87579790395573,19.35,26.292231200705505,26.66,12.832866593499553,14.619999999999997
2019,2019-06-07,black_curve,31.387122680238523,30.73,19.458468909045173,20.94,25.42279579464185,25.835,11.92865377119335,9.79
2019,2019-06-08,mean_identity_fallback,29.509142203141028,33.09,33.046857581413164,18.01,31.277999892277094,25.550000000000004,-3.537715378272136,15.080000000000002
2019,2019-06-09,black_curve,24.91852325912493,23.66,15.354733792424717,16.15,20.136628525774825,19.905,9.563789466700214,7.510000000000002
2019,2019-06-10,black_curve,24.98807809161002,26.4,14.380966137633429,13.87,19.684522114621725,20.134999999999998,10.607111953976592,12.53
2019,2019-06-11,black_curve,22.205884792206326,22.38,15.041737046241806,15.61,18.623810919224066,18.994999999999997,7.16414774596452,6.77
2019,2019-06-12,mean_identity_fallback,22.62321378711688,20.61,22.752272986797458,14.63,22.68774338695717,17.62,-0.1290591996805759,5.979999999999999
2019,2019-06-13,black_curve,26.518284406282053,26.79,16.08505953351819,13.87,21.30167196990012,20.33,10.433224872763862,12.92
2019,2019-06-14,mean_identity_fallback,30.34380019296214,29.1,26.67859972085954,16.41,28.51119995691084,22.755000000000003,3.6652004721025975,12.690000000000001
2019,2019-06-15,black_curve,32.917328994910555,33.47,17.789152929402952,17.4,25.353240962156754,25.435,15.128176065507603,16.07
2019,2019-06-16,black_curve,31.456677512723616,33.14,17.093604604552034,18.96,24.275141058637825,26.05,14.363072908171581,14.18
2019,2019-06-17,black_curve,30.58724210665996,29.07,15.980727284790554,15.45,23.28398469572526,22.259999999999998,14.606514821869407,13.620000000000001
2019,2019-06-18,mean_identity_fallback,32.569554832485096,33.33,7.219633289481692,16.68,19.894594060983394,25.005,25.349921543003404,16.65
2019,2019-06-19,black_curve,29.161368040715566,32.21,19.180249579104803,21.03,24.170808809910184,26.62,9.981118461610762,11.18
2019,2019-06-20,black_curve,27.28338756361807,25.51,18.03259484310078,17.65,22.657991203359426,21.58,9.250792720517289,7.860000000000003
2019,2019-06-21,black_curve,31.87400650763417,30.47,19.145472162862255,18.46,25.509739335248213,24.465,12.728534344771916,12.009999999999998
2019,2019-06-22,mean_identity_fallback,32.70866449745528,35.23,12.71953446021255,20.4,22.714099478833916,27.814999999999998,19.98913003724273,14.829999999999998
2019,2019-06-23,black_curve,29.7873615330814,29.39,19.388914076560077,20.91,24.58813780482074,25.15,10.398447456521321,8.48
2019,2019-06-24,black_curve,30.204690527991954,30.33,17.30226910200731,18.22,23.75347981499963,24.275,12.902421425984645,12.11
2019,2019-06-25,black_curve,30.935016269085423,30.52,16.537165944671294,15.84,23.73609110687836,23.18,14.39785032441413,14.68
2019,2019-06-26,black_curve,32.291335502544726,31.98,18.03259484310078,17.66,25.161965172822754,24.82,14.258740659443944,14.32
2019,2019-06-27,black_curve,34.27364822836986,33.42,19.910575320198276,19.33,27.092111774284067,26.375,14.363072908171581,14.090000000000003
