scenario,arm,year,treatment,obs,HWAM,error,abs_error,ARE_pct,ADAT,MDAT,SRADA,PRCP,NICM,NUCM
SRAD19P8_N129_STAGE,M15TT,2019,W1,9250,5243.0,-4007.0,4007.0,43.31891891891892,,,19.9,81.7,118,102
SRAD19P8_N129_STAGE,M15TT,2019,W2,10725,5224.0,-5501.0,5501.0,51.291375291375296,,,19.9,81.7,118,101
SRAD19P8_N129_STAGE,M15TT,2019,W3,12490,5202.0,-7288.0,7288.0,58.35068054443555,,,19.9,81.7,118,101
SRAD19P8_N129_STAGE,M15TT,2019,W4,12030,5181.0,-6849.0,6849.0,56.93266832917706,,,19.9,81.7,118,100
SRAD19P8_N129_STAGE,M15TT,2020,W1,9275,5536.0,-3739.0,3739.0,40.312668463611864,,,19.8,105.3,118,93
SRAD19P8_N129_STAGE,M15TT,2020,W2,11100,5520.0,-5580.0,5580.0,50.27027027027027,,,19.8,105.3,118,93
SRAD19P8_N129_STAGE,M15TT,2020,W3,12030,5499.0,-6531.0,6531.0,54.289276807980045,,,19.8,105.3,118,92
SRAD19P8_N129_STAGE,M15TT,2020,W4,11595,5481.0,-6114.0,6114.0,52.72962483829237,,,19.8,105.3,118,90
SRAD19P8_N193_STAGE,M0,2019,W1,9250,6581.0,-2669.0,2669.0,28.85405405405405,,,19.9,81.7,177,126
SRAD19P8_N193_STAGE,M0,2019,W2,10725,6547.0,-4178.0,4178.0,38.955710955710956,,,19.9,81.7,177,125
SRAD19P8_N193_STAGE,M0,2019,W3,12490,6514.0,-5976.0,5976.0,47.8462770216173,,,19.9,81.7,177,124
SRAD19P8_N193_STAGE,M0,2019,W4,12030,6482.0,-5548.0,5548.0,46.118038237738986,,,19.9,81.7,177,123
SRAD19P8_N193_STAGE,M0,2020,W1,9275,6524.0,-2751.0,2751.0,29.660377358490564,,,19.8,105.3,177,112
SRAD19P8_N193_STAGE,M0,2020,W2,11100,6561.0,-4539.0,4539.0,40.89189189189189,,,19.8,105.3,177,112
SRAD19P8_N193_STAGE,M0,2020,W3,12030,6533.0,-5497.0,5497.0,45.69409808811305,,,19.8,105.3,177,111
SRAD19P8_N193_STAGE,M0,2020,W4,11595,6514.0,-5081.0,5081.0,43.820612332902115,,,19.8,105.3,177,110
SRAD19P8_N193_STAGE,H0TT,2019,W1,9250,6384.0,-2866.0,2866.0,30.983783783783785,,,19.9,81.7,177,126
SRAD19P8_N193_STAGE,H0TT,2019,W2,10725,6348.0,-4377.0,4377.0,40.811188811188806,,,19.9,81.7,177,125
SRAD19P8_N193_STAGE,H0TT,2019,W3,12490,6311.0,-6179.0,6179.0,49.47157726180944,,,19.9,81.7,177,124
SRAD19P8_N193_STAGE,H0TT,2019,W4,12030,6278.0,-5752.0,5752.0,47.813798836242725,,,19.9,81.7,177,123
SRAD19P8_N193_STAGE,H0TT,2020,W1,9275,6614.0,-2661.0,2661.0,28.6900269541779,,,19.8,104.7,177,112
SRAD19P8_N193_STAGE,H0TT,2020,W2,11100,6519.0,-4581.0,4581.0,41.270270270270274,,,19.8,104.7,177,112
SRAD19P8_N193_STAGE,H0TT,2020,W3,12030,6492.0,-5538.0,5538.0,46.03491271820449,,,19.8,104.7,177,111
SRAD19P8_N193_STAGE,H0TT,2020,W4,11595,6475.0,-5120.0,5120.0,44.156964208710654,,,19.8,104.7,177,110
SRAD19P8_N193_STAGE,M15TT,2019,W1,9250,6423.0,-2827.0,2827.0,30.56216216216216,,,19.9,81.7,177,126
SRAD19P8_N193_STAGE,M15TT,2019,W2,10725,6387.0,-4338.0,4338.0,40.44755244755245,,,19.9,81.7,177,125
SRAD19P8_N193_STAGE,M15TT,2019,W3,12490,6350.0,-6140.0,6140.0,49.159327461969575,,,19.9,81.7,177,124
SRAD19P8_N193_STAGE,M15TT,2019,W4,12030,6316.0,-5714.0,5714.0,47.49792186201164,,,19.9,81.7,177,123
SRAD19P8_N193_STAGE,M15TT,2020,W1,9275,6665.0,-2610.0,2610.0,28.140161725067387,,,19.8,105.3,177,112
SRAD19P8_N193_STAGE,M15TT,2020,W2,11100,6567.0,-4533.0,4533.0,40.83783783783784,,,19.8,105.3,177,112
SRAD19P8_N193_STAGE,M15TT,2020,W3,12030,6539.0,-5491.0,5491.0,45.644222776392354,,,19.8,105.3,177,111
SRAD19P8_N193_STAGE,M15TT,2020,W4,11595,6515.0,-5080.0,5080.0,43.811987925830095,,,19.8,105.3,177,110
