date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-04-10,24.43,24.43,0.0,33.32,33.32,0.0,56.87,56.87,0.0
2003-04-11,21.6,21.6,0.0,36.59,36.59,0.0,58.33,58.33,0.0
2003-04-12,20.29,20.29,0.0,36.04,36.04,0.0,56.56,56.56,0.0
2003-04-13,19.77,19.77,0.0,36.48,36.48,0.0,56.45,56.45,0.0
2003-04-14,15.9,15.9,0.0,36.41,36.41,0.0,52.63,52.63,0.0
2003-04-15,17.03,17.03,0.0,33.8,33.8,0.0,49.91,49.91,0.0
2003-04-16,16.27,16.27,0.0,33.95,33.95,0.0,50.29,50.29,0.0
2003-04-17,17.06,17.06,0.0,33.87,33.87,0.0,51.33,51.33,0.0
2003-04-18,18.24,18.24,0.0,33.1,33.1,0.0,51.73,51.73,0.0
2003-04-19,18.23,18.23,0.0,27.97,27.97,0.0,46.29,46.29,0.0
2003-04-20,18.46,18.46,0.0,29.78,29.78,0.0,48.22,48.22,0.0
2003-04-21,18.88,18.88,0.0,31.7,31.7,0.0,50.72,50.72,0.0
2003-04-22,18.45,18.45,0.0,32.48,32.48,0.0,51.07,51.07,0.0
2003-04-23,15.16,15.16,0.0,32.31,32.31,0.0,47.66,47.66,0.0
2003-04-24,16.14,16.14,0.0,30.35,30.35,0.0,45.71,45.71,0.0
2003-04-25,15.84,15.84,0.0,30.84,30.84,0.0,46.75,46.75,0.0
2003-04-26,16.6,16.6,0.0,31.18,31.18,0.0,47.62,47.62,0.0
2003-04-27,16.14,16.14,0.0,30.89,30.89,0.0,47.1,47.1,0.0
2003-04-28,16.23,16.23,0.0,28.68,28.68,0.0,44.82,44.82,0.0
2003-04-29,16.4,16.4,0.0,25.63,25.63,0.0,41.73,41.73,0.0
2003-04-30,17.93,17.93,0.0,29.65,29.65,0.0,47.16,47.16,0.0
2003-05-01,18.44,18.44,0.0,33.28,33.28,0.0,51.11,51.11,0.0
2003-05-02,17.71,17.71,0.0,33.2,33.2,0.0,50.84,50.84,0.0
2003-05-03,23.37,23.37,0.0,37.09,37.09,0.0,58.48,58.48,0.0
2003-05-04,21.51,21.51,0.0,36.76,36.76,0.0,57.62,57.62,0.0
2003-05-05,20.94,20.94,0.0,37.13,37.13,0.0,57.51,57.51,0.0
2003-05-06,18.0,18.0,0.0,35.49,35.49,0.0,53.56,53.56,0.0
2003-05-07,15.21,15.21,0.0,33.4,33.4,0.0,48.41,48.41,0.0
2003-05-08,18.31,18.31,0.0,36.87,36.87,0.0,55.19,55.19,0.0
2003-05-09,28.62,28.62,0.0,50.39,50.39,0.0,77.99,77.99,0.0
2003-05-10,31.78,31.78,0.0,52.87,52.87,0.0,83.43,83.43,0.0
2003-05-11,24.12,24.12,0.0,44.33,44.33,0.0,69.53,69.53,0.0
2003-05-12,23.28,23.28,0.0,44.67,44.67,0.0,69.41,69.41,0.0
2003-05-13,22.82,22.82,0.0,32.85,32.85,0.0,56.7,56.7,0.0
2003-05-14,22.65,22.65,0.0,36.04,36.04,0.0,59.5,59.5,0.0
2003-05-15,22.94,22.94,0.0,39.27,39.27,0.0,63.21,63.21,0.0
2003-05-16,21.74,21.74,0.0,40.55,40.55,0.0,64.01,64.01,0.0
2003-05-17,31.3,31.3,0.0,48.85,48.85,0.0,79.71,79.71,0.0
2003-05-18,30.02,30.02,0.0,43.5,43.5,0.0,72.29,72.29,0.0
2003-05-19,20.78,20.78,0.0,41.63,41.63,0.0,62.84,62.84,0.0
2003-05-20,24.6,24.6,0.0,42.75,42.75,0.0,66.68,66.68,0.0
2003-05-21,25.22,25.22,0.0,42.23,42.23,0.0,67.06,67.06,0.0
2003-05-22,24.37,24.37,0.0,38.95,38.95,0.0,63.58,63.58,0.0
2003-05-23,23.48,23.48,0.0,34.23,34.23,0.0,58.38,58.38,0.0
2003-05-24,23.34,23.34,0.0,36.07,36.07,0.0,59.83,59.83,0.0
2003-05-25,22.05,22.05,0.0,37.42,37.42,0.0,60.38,60.38,0.0
2003-05-26,22.32,22.32,0.0,37.63,37.63,0.0,59.7,59.7,0.0
2003-05-27,21.95,21.95,0.0,38.4,38.4,0.0,59.33,59.33,0.0
2003-05-28,20.11,20.11,0.0,36.12,36.12,0.0,56.58,56.58,0.0
2003-05-29,20.85,20.85,0.0,36.7,36.7,0.0,57.91,57.91,0.0
2003-05-30,21.56,21.56,0.0,36.71,36.71,0.0,58.41,58.41,0.0
