*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 30, 2026 03:50:10

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2001    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2001 MZ GUO2025 SHIHEZI 2020 W1
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   RL10D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2020 152    28    26   10.0      3   1.11    627     22      0    518    649    649      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    177.3   0.43   0.00   0.59    1.24    2.79    2.63    2.15    1.83    1.10    0.33    0.00    0.00    0.00      0      0      0       0       0 19.54
 2020 153    29    27   10.0      3   1.29    751     29      0    596    781    781      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    171.4   0.50   0.00   0.63    1.23    3.11    2.94    2.42    2.10    1.33    0.62    0.00    0.00    0.00      0      0      0       0       0 21.51
 2020 154    30    28   11.0      3   1.50    903     44      0    654    947    947      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    165.6   0.58   0.00   0.66    1.23    3.33    3.17    2.61    2.29    1.49    0.78    0.08    0.00    0.00      0      0      0       0       0 22.81
 2020 155    31    29   11.0      3   1.71   1068     68      0    706   1136   1136      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    160.4   0.67   0.00   0.69    1.22    3.51    3.37    2.78    2.46    1.64    0.93    0.19    0.00    0.00      0      0      0       0       0 21.92
 2020 156    32    30   12.0      3   1.97   1270    109      0    729   1379   1379      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    155.2   0.77   0.00   0.72    1.21    3.57    3.45    2.85    2.54    1.70    1.00    0.25    0.00    0.00      0      0      0       0       0 21.35
 2020 157    33    31   12.0      3   2.16   1423    147      0    741   1570   1570      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    151.9   0.84   0.00   0.75    1.26    3.59    3.48    2.88    2.57    1.73    1.03    0.28    0.01    0.00      0      0      0       0       0 15.61
 2020 158    34    32   12.0      3   2.28   1518    173      0    883   1692   1692      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    150.0   0.89   0.00   0.76    1.77    3.97    3.88    3.26    2.99    2.08    1.38    0.56    0.18    0.00      0      0      0       0       0  9.50
 2020 159    35    33   13.0      3   2.41   1631    209      0   1016   1840   1840      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    147.9   0.94   0.00   0.78    2.25    4.00    4.00    3.59    3.37    2.41    1.72    0.83    0.39    0.00      0      0      0       0       0 11.10
 2020 160    36    34   13.0      3   2.56   1758    255      0   1138   2012   2012      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    145.8   1.00   0.00   0.80    2.55    4.00    4.00    3.87    3.70    2.74    2.05    1.09    0.64    0.00      0      0      0       0       0 12.30
 2020 161    37    35   13.0      3   2.75   1916    321      0   1218   2238   2238      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    143.4   1.07   0.00   0.82    2.56    4.00    4.00    4.00    3.90    2.97    2.29    1.28    0.87    0.00      0      0      0       0       0 15.15
