*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 05:16:45

*RUN   1        : RAINFED LOW NITROGEN      MZCER048 UFGA8201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UFGA8201 MZ NIT X IRR, GAINESVILLE 2N*3I
 DATA PATH      :
 TREATMENT  1   : RAINFED LOW NITROGEN      MZCER048
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 1982 105    50    48   13.0      3   0.94    693    108      0    286    802    802      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.50   0.00   0.00      0      0    135.5   0.44   0.00   0.63    1.78    1.92    0.97    0.64    0.23    0.00    0.00    0.00    0.00      0      0      0       0      16 13.65
 1982 106    51    49   13.0      3   1.08    805    149      0    299    954    954      0    0.0  0.000      0      0  0.000  0.000  0.025  0.000  0.000  0.000  0.000   2.18   0.00   0.00      0      0    134.8   0.51   0.00   0.64    1.77    2.01    1.03    0.66    0.26    0.00    0.00    0.00    0.00      0      0      0       0      18 16.20
 1982 107    52    50   14.0      3   1.21    909    194      0    317   1103   1103      0    0.0  0.000      0      0  0.000  0.000  0.079  0.000  0.000  0.000  0.000   2.07   0.00   0.00      0      0    133.0   0.57   0.00   0.65    2.30    2.04    1.05    0.67    0.27    0.00    0.00    0.00    0.00      0      0      0       0      19 17.25
 1982 108    53    51   14.0      3   1.31   1003    241      0    335   1243   1243      0    0.0  0.000      0      0  0.000  0.000  0.107  0.000  0.000  0.000  0.000   1.97   0.00   0.00      0      0    130.7   0.62   0.00   0.66    2.78    2.07    1.08    0.68    0.28    0.00    0.00    0.00    0.00      0      0      0       0      21 16.45
 1982 109    54    52   14.0      3   1.38   1079    284      0    377   1363   1363      0    0.0  0.000      0      0  0.000  0.000  0.132  0.000  0.000  0.000  0.000   1.83   0.00   0.00      0      0    128.1   0.65   0.00   0.66    2.76    2.35    1.28    0.76    0.36    0.00    0.00    0.00    0.00      0      0      0       0      23 14.50
 1982 110    55    53   15.0      3   1.45   1159    337      0    409   1496   1496      0    0.0  0.000      0      0  0.000  0.043  0.164  0.000  0.000  0.000  0.000   1.69   0.00   0.00      0      0    125.2   0.68   0.00   0.67    2.75    2.56    1.42    0.82    0.43    0.00    0.00    0.00    0.00      0      0      0       0      24 17.00
 1982 111    56    54   15.0      3   1.50   1232    391      0    460   1623   1623      0    0.0  0.000      0      0  0.105  0.404  0.185  0.000  0.000  0.000  0.000   1.58   0.00   0.00      0      0    122.1   0.71   0.00   0.68    2.73    2.89    1.66    0.93    0.53    0.01    0.00    0.00    0.00      0      0      0       0      26 16.70
 1982 112    57    55   16.0      3   1.52   1280    431      0    489   1711   1711      0    0.0  0.000      0      0  0.471  0.648  0.217  0.000  0.000  0.000  0.000   1.51   0.00   0.00      0      0    118.9   0.72   0.00   0.69    2.72    3.09    1.80    0.98    0.59    0.01    0.00    0.00    0.00      0      0      0       0      29 16.75
 1982 113    58    56   16.0      3   1.52   1316    464      0    491   1780   1780      0    0.0  0.000      0      0  0.000  0.245  0.267  0.000  0.000  0.000  0.000   1.47   0.00   0.00      0      0    115.6   0.72   0.00   0.69    2.71    3.10    1.80    0.98    0.59    0.01    0.00    0.00    0.00      0      0      0       0      31 15.35
 1982 114    59    57   16.0      3   1.51   1345    493      0    492   1838   1838      0    0.0  0.000      0      0  0.000  0.222  0.296  0.000  0.000  0.000  0.000   1.43   0.00   0.00      0      0    112.3   0.72   0.00   0.70    2.69    3.10    1.81    0.99    0.60    0.01    0.00    0.00    0.00      0      0      0       0      34 10.05
 1982 115    60    58   16.0      3   1.50   1377    518      0    492   1895   1896      0    0.0  0.000      0      0  0.094  0.396  0.310  0.000  0.000  0.000  0.000   2.25   0.00   0.00      0      0    109.2   0.72   0.00   0.70    2.74    3.11    1.80    0.98    0.59    0.01    0.00    0.00    0.00      0      0      0       0      36 13.15
 1982 116    61    59   17.0      3   1.54   1424    579      0    496   2002   2003      0    0.0  0.000      1      0  0.000  0.000  0.074  0.000  0.000  0.000  0.000   2.56   0.00   0.00      0      1    108.4   0.73   0.00   0.71    2.80    3.16    1.81    0.98    0.59    0.01    0.00    0.00    0.00      0      0      0       0      39 14.50
 1982 117    62    60   17.0      3   1.66   1520    736      0    508   2256   2262      0    0.0  0.000      6      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.44   0.00   0.00      0      6    109.0   0.78   0.00   0.72    2.96    3.26    1.84    0.97    0.59    0.01    0.00    0.00    0.00      0      0      0       0      41 14.50
 1982 118    63    61   17.0      3   1.76   1612    908      0    521   2520   2535      0    0.0  0.000     15      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.25   0.00   0.01      0     15    109.3   0.83   0.00   0.72    2.95    3.35    1.92    0.99    0.61    0.01    0.00    0.00    0.00      0      0      0       0      44 13.10
 1982 119    64    62   18.0      3   1.84   1680   1048      0    530   2728   2751      0    0.0  0.000     22      0  0.000  0.000  0.019  0.000  0.000  0.000  0.000   2.12   0.00   0.01      0     22    109.3   0.87   0.00   0.73    2.93    3.41    1.97    1.00    0.62    0.01    0.00    0.00    0.00      0      0      0       0      46 12.80
 1982 120    65    63   18.0      3   1.90   1751   1202      0    540   2952   2988      0    0.0  0.000     36      0  0.000  0.000  0.056  0.000  0.000  0.000  0.000   1.98   0.00   0.01      0     36    108.7   0.90   0.00   0.73    2.92    3.47    2.02    1.02    0.65    0.01    0.00    0.00    0.00      0      0      0       0      49 13.15
 1982 121    66    64   18.0      3   1.95   1809   1336      0    549   3145   3195      0    0.0  0.000     50      0  0.000  0.000  0.082  0.000  0.000  0.000  0.000   1.87   0.00   0.02      0     50    107.7   0.92   0.00   0.74    2.90    3.53    2.06    1.04    0.67    0.01    0.00    0.00    0.00      0      0      0       0      52 13.15
 1982 122    67    65   19.0      3   1.98   1859   1450      0    578   3309   3380      0    0.0  0.000     71      0  0.028  0.353  0.106  0.000  0.000  0.000  0.000   1.79   0.00   0.02      0     71    106.4   0.93   0.00   0.75    2.89    3.72    2.19    1.10    0.72    0.02    0.00    0.00    0.00      0      0      0       0      54 13.40
 1982 123    68    66   19.0      3   1.95   1882   1502      0    601   3385   3471      0    0.0  0.000     87      0  0.529  0.686  0.123  0.000  0.000  0.000  0.000   1.75   0.00   0.02      0     87    103.6   0.93   0.00   0.75    2.87    3.87    2.30    1.14    0.77    0.02    0.00    0.00    0.00      0      0      0       0      57 13.95
 1982 124    69    67   19.0      3   1.90   1898   1533      0    625   3431   3533      0    0.0  0.000    102      0  0.648  0.766  0.136  0.000  0.000  0.000  0.000   1.73   0.00   0.03      0    102    100.3   0.93   0.00   0.76    2.86    4.00    2.40    1.19    0.82    0.03    0.00    0.00    0.00      0      0      0       0      60 12.85
 1982 125    70    68   20.0      3   1.85   1910   1558      0    645   3468   3587      0    0.0  0.000    119      0  0.701  0.801  0.139  0.000  0.000  0.000  0.000   1.72   0.00   0.03      0    119     96.9   0.93   0.00   0.76    2.84    4.00    2.50    1.23    0.86    0.03    0.00    0.00    0.00      0      0      0       0      63 13.35
