*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
 2020 147    23    0.01    0.00    0.03    0.08    38.1   0.006   0.038   0.077   0.064     0.4     0.3     0.6     3.7     786    0.31    0.79    3.39    0.99     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.5     0.9     1.1     15.     80.     45.     90.     86.     87.     83.     85.     82.    133.     0.0     0.1     0.0     0.1     0.1     0.1     0.2     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.4     0.7     0.4     0.8     1.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2
 2020 148    24    0.01    0.00    0.03    0.09    39.0   0.006   0.039   0.081   0.065     0.4     0.3     0.6     3.9     877    0.33    0.88    3.57    1.10     0.0     0.0     0.0     0.0     0.0     0.4     0.9     0.5     1.0     1.2     13.     88.     50.    102.     98.     98.     94.     95.     91.    147.     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.3     0.8     0.5     0.9     1.1     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2
 2020 149    25    0.01    0.00    0.03    0.09    39.9   0.006   0.040   0.084   0.066     0.4     0.3     0.6     3.8     954    0.33    0.95    3.49    1.17     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.6     1.1     1.2     13.     92.     54.    112.    107.    109.    103.    104.     99.    161.     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.2     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.5     1.0     1.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.2     0.2
 2020 150    26    0.01    0.00    0.03    0.09    40.9   0.007   0.041   0.088   0.068     0.4     0.4     0.6     3.8     918    0.34    0.92    3.48    1.14     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.6     1.1     1.2     11.     83.     49.    108.    104.    106.    100.    102.     98.    158.     0.0     0.1     0.0     0.1     0.1     0.1     0.2     0.2     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.8     0.5     1.0     1.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.2     0.2
 2020 151    27    0.01    0.00    0.03    0.10    41.8   0.007   0.042   0.091   0.069     0.4     0.4     0.6     3.7     894    0.33    0.89    3.37    1.12     0.0     0.0     0.0     0.0     0.0     0.0     0.8     0.6     1.1     1.3      9.     76.     45.    104.    103.    104.     99.    101.     97.    156.     0.0     0.1     0.0     0.1     0.1     0.1     0.2     0.2     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.7     0.5     1.0     1.1     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2
 2020 152    28    0.01    0.00    0.03    0.10    42.7   0.007   0.043   0.094   0.070     0.5     0.4     0.6     3.0     895    0.27    0.89    2.73    1.07     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     1.1     1.3      7.     74.     43.    102.    104.    105.    103.    102.     98.    158.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.2     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     1.0     1.2     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2
 2020 153    29    0.01    0.00    0.03    0.10    43.5   0.007   0.044   0.097   0.071     0.5     0.5     0.6     2.9     862    0.27    0.86    2.67    1.04     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     1.1     1.3      5.     70.     40.     96.     99.    101.    100.    100.     96.    155.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     1.0     1.2     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2
 2020 154    30    0.01    0.01    0.03    0.11    44.3   0.008   0.044   0.099   0.072     0.5     0.5     0.6     2.7     832    0.25    0.83    2.44    1.00     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     1.1     1.3      4.     66.     37.     90.     95.     93.     98.     99.     95.    153.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     1.0     1.2     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2
 2020 155    31    0.01    0.01    0.03    0.11    45.2   0.008   0.045   0.101   0.073     0.5     0.5     0.6     2.6     889    0.25    0.89    2.35    1.06     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     1.4      5.     71.     40.     96.    100.     93.    107.    109.    103.    166.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.1     1.3     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2
 2020 156    32    0.01    0.01    0.03    0.11    46.2   0.008   0.046   0.104   0.074     0.5     0.6     0.6     2.7     914    0.26    0.91    2.44    1.10     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     1.5      6.     75.     41.     96.    100.     88.    105.    116.    110.    177.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.1     1.3     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2
