K_RT,gain_scale,cal_all_rmse,cal_high_rmse,cal_all_bias,cal_high_bias
-0.6,0.5,2.317083717384648,5.3072052805305425,0.31998152282437103,1.2467666560758905
-0.5,0.5,2.320812157708492,5.306965815556224,0.32996819171372244,1.2478275990349839
-0.4,0.5,2.3255969354231447,5.306717091220396,0.3406610394172554,1.2489551361495113
-0.3,0.5,2.330326534475649,5.306459060954066,0.3508047029115296,1.2501549741250904
-0.2,0.5,2.334318430428257,5.306191816495158,0.3601188414490881,1.2514334886879654
-0.1,0.5,2.3394085639226563,5.305915646997333,0.369200907569899,1.2527978425499526
0.0,0.5,2.34506543381234,5.30563112373122,0.37778899937320665,1.2542561367771035
0.1,0.5,2.35168606382206,5.3053392233401855,0.386052482719236,1.2558176094872586
0.2,0.5,2.3567271888080303,5.305041510258176,0.3932743268543686,1.2574929033117845
0.3,0.5,2.3602265737350123,5.304740411656572,0.3996035400106852,1.25929443538768
0.4,0.5,2.3639847919661716,5.304439639952345,0.4052440651472522,1.2612369242928938
0.5,0.5,2.3685957594519955,5.304144855332027,0.4105673797295491,1.2633381635502519
0.6,0.5,2.3719119822145407,5.3038647264898255,0.4151592644887119,1.2656201924099928
0.7,0.5,2.3744160979298194,5.3036126652550335,0.41918355752256176,1.2681111222440073
0.8,0.5,2.377513636029659,5.303409724408139,0.42285755022341287,1.270848069192653
0.9,0.5,2.3812777016172664,5.303289543909187,0.4260740707149791,1.2738819917737638
1.0,0.5,2.3842216043167643,5.30330698106383,0.428793677035849,1.2772858697024938
1.1,0.5,2.387923782509502,5.303553522568139,0.4312497829602872,1.2811688413304334
1.2,0.5,2.391489391356552,5.304185536025501,0.4333839117919643,1.285701130727741
1.3,0.5,2.3940229005105205,5.30547772220718,0.43512454699040176,1.2911587951728807
1.4,0.5,2.395857183744361,5.30792848395085,0.43642975181059085,1.298005403077833
1.5,0.5,2.397794061227087,5.312479348031152,0.43760150590108493,1.3070435530671554
1.6,0.5,2.399549415250725,5.321005750156727,0.4386009898039777,1.319068391645552
1.7,0.5,2.401440635681637,5.337479062167656,0.4395624805914662,1.3364685801422185
1.8,0.5,2.403035763313236,5.354436772591873,0.4403252103509616,1.3530499785163026
1.9,0.5,2.404710499101402,5.372533564273564,0.44096340769808884,1.368044034181403
2.0,0.5,2.407037685191729,5.397888871172784,0.44165859757162285,1.3849979898345126
2.1,0.5,2.4098244259552675,5.428127334502567,0.4424039930415546,1.4031763353806126
2.2,0.5,2.4134571353657712,5.467346176843317,0.44323978186238405,1.4235591504116685
2.3,0.5,2.4168094682161385,5.503341988408536,0.44395720891878043,1.4410554157652649
2.4,0.5,2.4176375223777042,5.512204709784813,0.4442077368007782,1.4471651690326217
2.5,0.5,2.419000952175963,5.526773220178033,0.44451576663038284,1.454677252090455
