q,kt0,pmax,cv_all_rmse,cv_high_rmse,mean_fold_krt,max_fold_krt,boundary_fold_count,n,n_high
0.5,0.9,3.0,2.3956580176769853,5.455012545309556,1.0,1.0,16,16803,689
0.5,0.9,5.0,2.387148680106739,5.3894657659531555,1.0,1.0,16,16803,689
0.5,0.9,8.0,2.3842627635976563,5.366630423170556,1.0,1.0,16,16803,689
0.5,0.9,12.0,2.3832802989293578,5.359984088097918,1.0,1.0,16,16803,689
0.5,0.9,20.0,2.3821657082393264,5.353761640797415,1.0,1.0,16,16803,689
1.0,0.6,2.0,2.419809151158471,5.570025702139275,1.0,1.0,16,16803,689
1.0,0.6,3.0,2.4104393415387473,5.487526057314975,1.0,1.0,16,16803,689
1.0,0.6,5.0,2.403078362315359,5.422410662273342,1.0,1.0,16,16803,689
1.0,0.6,8.0,2.4004475569693686,5.399204982327831,1.0,1.0,16,16803,689
1.0,0.6,12.0,2.3997351923935493,5.393029013898383,1.0,1.0,16,16803,689
1.0,0.6,20.0,2.399148240230077,5.388045002482025,1.0,1.0,16,16803,689
1.0,0.7,2.0,2.41757060141266,5.556765993096785,1.0,1.0,16,16803,689
1.0,0.7,3.0,2.4071725000997097,5.468150255082569,1.0,1.0,16,16803,689
1.0,0.7,5.0,2.3990208920617744,5.398387975544691,1.0,1.0,16,16803,689
1.0,0.7,8.0,2.3960894743237287,5.3734507245075,1.0,1.0,16,16803,689
1.0,0.7,12.0,2.395279560967025,5.366704927548676,1.0,1.0,16,16803,689
1.0,0.7,20.0,2.3946018487175382,5.3611613220611245,1.0,1.0,16,16803,689
1.0,0.8,2.0,2.4161749392533522,5.549920403037928,1.0,1.0,16,16803,689
1.0,0.8,3.0,2.405530783634939,5.460485291564419,1.0,1.0,16,16803,689
1.0,0.8,5.0,2.3974169437886346,5.391499849825725,1.0,1.0,16,16803,689
1.0,0.8,8.0,2.3945303086411562,5.367065219369676,1.0,1.0,16,16803,689
1.0,0.8,12.0,2.39369695353119,5.360269679155823,1.0,1.0,16,16803,689
1.0,0.8,20.0,2.3929422094245885,5.354373724861904,1.0,1.0,16,16803,689
1.0,0.9,2.0,2.415528108470318,5.547275691125013,1.0,1.0,16,16803,689
1.0,0.9,3.0,2.405123277957309,5.4592251056698435,1.0,1.0,16,16803,689
1.0,0.9,5.0,2.3974949879648055,5.392793381138935,1.0,1.0,16,16803,689
1.0,0.9,8.0,2.3948291424956727,5.3695003627648275,1.0,1.0,16,16803,689
1.0,0.9,12.0,2.394019185280631,5.362847581562605,1.0,1.0,16,16803,689
1.0,0.9,20.0,2.393221285813975,5.356797612863781,1.0,1.0,16,16803,689
