mode,arm,DTRc_C,alpha,split,DTR_bin,n,rmse,mae,mbe,r2
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14.3-<14.5,151,2.2449653285580538,1.3336628647254725,-0.1740355391113278,0.8592339928247613
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14.5-<14.8,279,2.5191986781743623,1.5401624066824093,-0.19427781499709543,0.8615658763838198
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14.8-<15,168,2.2403450256369406,1.4623028564245166,-0.2793738396336615,0.8991316151201558
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,15-<18,594,4.338049942139003,2.685858435294921,0.4407383111340768,0.6936281135791125
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,18-<20,71,8.003093814460643,6.448475374681384,2.7442397553360416,0.10388008696493164
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,>=20,24,11.753818718827153,9.638134796703573,3.802625309480599,0.00517116754332769
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.3517511902545816,2.2720678025598557,0.256025115775645,0.7013366432456042
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.5050269544639674,1.6834720994704617,-0.11191302189510814,0.8437473175838708
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.7252806983069733,2.0686104414421527,-0.8166474335048359,0.7975858361252337
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.28321781909539,2.5484306951491944,-0.01512124610233346,0.7830842369155212
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,15-<18,856,4.405040729133146,3.1660101745579197,0.17633538769822343,0.6553531317692066
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,18-<20,72,5.598515209471378,4.456323614023862,-0.7610777341869869,0.5023197823775036
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.383468271982799,2.2897192688325125,0.28774293383612537,0.6970972174945248
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.549052240822197,1.7033395674347647,-0.03324973441476391,0.8386876963976818
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.7379642194725275,2.061274298077578,-0.698612720298295,0.7891895403529601
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.331633077200452,2.599706782941099,0.12846658385999454,0.775355337143716
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,15-<18,856,4.41189676837421,3.163810367838125,0.2879277887631669,0.6531068337094336
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,18-<20,72,5.573245098436978,4.421000591454434,-0.6844696682596362,0.502020710951488
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.383468271982799,2.2897192688325125,0.28774293383612537,0.6970972174945248
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.561571426135907,1.7108264524326842,-0.017990628468662756,0.8374013395464666
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.75653800746992,2.0623029774227715,-0.6199229114939347,0.7826493512473717
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.3759561940059157,2.6378056928132896,0.22419180383487983,0.7692510684318827
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,15-<18,856,4.4241363844375545,3.1706337866242356,0.3688872808246919,0.6507248514699444
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,18-<20,72,5.559248844080524,4.401069962342011,-0.6333976243080695,0.5016131373732942
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
