date,year,doy,srad,tmax,tmin,dtr,z_dtr,ra,kt,exposure,strength,trigger
2021-01-07,2021,7,6.2,-16.0,-24.0,8.0,-1.0913780246910738,11.794020123407577,0.5256901323828393,0.0,0.0,0
2021-01-08,2021,8,6.1,-16.0,-24.0,8.0,-1.0913780246910738,11.876390578995776,0.513624064434886,0.0,0.0,0
2021-01-09,2021,9,5.3,-12.0,-20.0,8.0,-1.0913780246910738,11.963215622444174,0.44302469898282837,0.0,0.0,0
2021-01-10,2021,10,7.4,-14.0,-22.0,8.0,-1.0913780246910738,12.054483209888849,0.6138794895769102,0.0,0.0,0
2021-01-11,2021,11,7.4,-17.0,-23.0,6.0,-1.888259605036474,12.150180181130949,0.6090444659818371,0.0,0.0,0
2021-01-12,2021,12,7.5,-13.0,-21.0,8.0,-1.0913780246910738,12.250292205119619,0.6122302941366259,0.0,0.0,0
2021-01-13,2021,13,5.7,-6.0,-19.0,13.0,0.9008259261724267,12.354803725150271,0.46135900875516916,0.0,0.0,0
2021-01-14,2021,14,5.9,-6.0,-13.0,7.0,-1.4898188148637739,12.463697904049438,0.47337475967570575,0.0,0.0,0
2021-01-15,2021,15,7.1,-12.0,-19.0,7.0,-1.4898188148637739,12.576956569614799,0.5645244905395627,0.0,0.0,0
2021-01-16,2021,16,7.6,-18.0,-25.0,7.0,-1.4898188148637739,12.694560160575767,0.5986816324367475,0.0,0.0,0
2021-01-17,2021,17,7.8,-13.0,-22.0,9.0,-0.6929372345183736,12.816487673334503,0.6085910741543007,0.0,0.0,0
2021-01-18,2021,18,8.4,-11.0,-19.0,8.0,-1.0913780246910738,12.942716609741733,0.6490136694855454,0.0,0.0,0
2021-01-19,2021,19,7.7,-12.0,-19.0,7.0,-1.4898188148637739,13.073222926154202,0.5889901857785529,0.0,0.0,0
2021-01-20,2021,20,7.3,-8.0,-18.0,10.0,-0.2944964443456735,13.207980984012751,0.5526961318945031,0.0,0.0,0
2021-01-21,2021,21,8.3,-4.0,-15.0,11.0,0.10394434582702657,13.346963502170809,0.6218642913536141,0.0,0.0,0
2021-01-22,2021,22,8.0,-3.0,-16.0,13.0,0.9008259261724267,13.4901415111933,0.5930256545761278,0.0,0.0,0
2021-01-23,2021,23,4.4,-2.0,-9.0,7.0,-1.4898188148637739,13.637484309835656,0.32264015122104467,0.0,0.0,0
2021-01-24,2021,24,5.6,-3.0,-15.0,12.0,0.5023851359997267,13.788959423901115,0.40612201601617814,0.0,0.0,0
2021-01-25,2021,25,8.7,-5.0,-14.0,9.0,-0.6929372345183736,13.944532567663206,0.6239004396730328,0.0,0.0,0
2021-01-26,2021,26,6.6,-8.0,-15.0,7.0,-1.4898188148637739,14.104167608027918,0.46794679299211966,0.0,0.0,0
