year,date,temperature_C,n_vertices
2019,2019-09-07,18.998681273981642,2
2019,2019-09-08,19.49933979933217,1
2020,2020-05-04,24.242424445493004,1
2020,2020-05-05,20.92226720356119,2
2020,2020-05-06,16.07377829370105,2
2020,2020-05-07,18.39261848493182,2
2020,2020-05-08,19.92095015286014,2
2020,2020-05-09,23.372861049098773,2
2020,2020-05-10,24.32147261731556,2
2020,2020-05-11,27.140971333896854,2
2020,2020-05-12,29.03820787286888,2
2020,2020-05-13,29.407112743912588,2
2020,2020-05-14,29.69696944313374,2
2020,2020-05-15,30.513834058312938,2
2020,2020-05-16,25.71805063093706,2
2020,2020-05-17,27.536232296817307,2
2020,2020-05-18,28.590248128733393,2
2020,2020-05-19,29.93412065987063,2
2020,2020-05-20,27.035573771466783,2
2020,2020-05-21,23.21475800418444,2
2020,2020-05-22,25.902503066458916,2
2020,2020-05-23,28.590248128733393,2
2020,2020-05-24,26.376812201201925,2
2020,2020-05-25,28.326747521388988,2
2020,2020-05-26,30.039524923569928,2
2020,2020-05-27,31.46245232779895,2
2020,2020-05-28,28.405795693211537,2
2020,2020-05-29,26.930169507767484,2
2020,2020-05-30,27.140971333896854,2
2020,2020-05-31,32.27931694297815,2
2020,2020-06-01,30.540183448920452,2
2020,2020-06-02,32.49011876910752,2
