year,date,TMAX_C,TMIN_C,TMIN_source,red_y,black_y,Meng_single_T_C,RAIN_mm
2019,2019-05-29,26.379174741311868,-0.016884186780707466,black_curve,459.0,838.5,14.598152108256993,0.0
2019,2019-05-30,29.85691636556649,7.8769388737831605,mean_identity_fallback,409.0,,18.866927619674826,0.0
2019,2019-05-31,31.943561340119263,16.9197175233393,black_curve,379.0,595.0,25.42819393171591,0.0
2019,2019-06-01,32.5,28.158763245582172,mean_identity_fallback,371.0,,30.329381622791086,0.0
2019,2019-06-02,32.08267100508945,17.650043264432767,black_curve,377.0,584.5,26.086955501980768,0.3473684210526321
2019,2019-06-03,31.03934851781306,19.041139914134618,black_curve,392.0,564.5,26.508565855508742,0.0
2019,2019-06-04,31.76967425890653,18.519478670496426,black_curve,381.5,572.0,25.138337232494756,0.0
2019,2019-06-05,31.456677512723616,19.21502699534735,black_curve,386.0,562.0,23.399210439706295,0.0
2019,2019-06-06,32.70866449745528,19.87579790395573,black_curve,368.0,552.5,27.588931078032346,0.0
2019,2019-06-07,31.387122680238523,19.458468909045173,black_curve,387.0,558.5,24.53228114471416,1.1157894736842122
2019,2019-06-08,29.509142203141028,33.046857581413164,mean_identity_fallback,414.0,,31.277999892277094,0.0
2019,2019-06-09,24.91852325912493,15.354733792424717,black_curve,480.0,617.5,22.87220252374825,0.0
2019,2019-06-10,24.98807809161002,14.380966137633429,black_curve,479.0,631.5,17.338602653015734,0.0
2019,2019-06-11,22.205884792206326,15.041737046241806,black_curve,519.0,622.0,19.815545889160838,1.9157894736842134
2019,2019-06-12,22.62321378711688,22.752272986797458,mean_identity_fallback,513.0,,22.68774338695717,0.0
2019,2019-06-13,26.518284406282053,16.08505953351819,black_curve,457.0,607.0,21.949933644869756,0.0
2019,2019-06-14,30.34380019296214,26.67859972085954,mean_identity_fallback,402.0,,28.51119995691084,0.0
2019,2019-06-15,32.917328994910555,17.789152929402952,black_curve,365.0,582.5,25.98155123828147,0.0
2019,2019-06-16,31.456677512723616,17.093604604552034,black_curve,386.0,592.5,26.32410671871766,0.978947368421054
2019,2019-06-17,30.58724210665996,15.980727284790554,black_curve,398.5,608.5,24.374178099799828,0.0
2019,2019-06-18,32.569554832485096,7.219633289481692,mean_identity_fallback,370.0,,19.894594060983394,0.0
2019,2019-06-19,29.161368040715566,19.180249579104803,black_curve,419.0,562.5,26.166010375072553,0.0
2019,2019-06-20,27.28338756361807,18.03259484310078,black_curve,446.0,579.0,20.79051354925437,0.0
2019,2019-06-21,31.87400650763417,19.145472162862255,black_curve,380.0,563.0,24.55863053532168,1.2105263157894754
2019,2019-06-22,32.70866449745528,12.71953446021255,mean_identity_fallback,368.0,,22.714099478833916,0.0
2019,2019-06-23,29.7873615330814,19.388914076560077,black_curve,410.0,559.5,23.715416529534963,0.0
2019,2019-06-24,30.204690527991954,17.30226910200731,black_curve,404.0,589.5,24.374178099799828,0.0
2019,2019-06-25,30.935016269085423,16.537165944671294,black_curve,393.5,600.5,22.187084861606646,0.0
2019,2019-06-26,32.291335502544726,18.03259484310078,black_curve,374.0,579.0,23.372861049098773,0.947368421052633
2019,2019-06-27,34.27364822836986,19.910575320198276,black_curve,345.5,552.0,27.351779861295455,0.105263157894737
2019,2019-06-28,36.325515786680086,22.205884792206326,black_curve,316.0,519.0,28.906454218562065,0.0
2019,2019-06-29,38.133941431292484,23.701313690635814,black_curve,290.0,497.5,29.96047675174738,0.12631578947368438
2019,2019-06-30,38.690380091173225,23.353539528210348,black_curve,282.0,502.5,33.06982546628059,0.0
2019,2019-07-01,38.133941431292484,30.113754567639333,mean_identity_fallback,290.0,,34.12384799946591,0.105263157894737
2019,2019-07-02,38.55127042620305,21.371226802385216,black_curve,284.0,531.0,28.27404203890472,0.0
2019,2019-07-03,36.46462545165027,20.536568812564106,black_curve,314.0,543.0,27.9841920409528,0.0
2019,2019-07-04,33.89109664970185,19.736688238985543,black_curve,351.0,554.5,23.425559830313812,0.0
2019,2019-07-05,34.72575463952296,20.919120391232113,black_curve,339.0,537.5,27.93148655846853,0.8842105263157908
2019,2019-07-06,37.64705760389684,9.941871798818198,mean_identity_fallback,297.0,,23.79446470135752,0.0
2019,2019-07-07,35.212638466918605,7.738610553334894,mean_identity_fallback,332.0,,21.47562451012675,0.0
2019,2019-07-08,33.786764400974214,23.353539528210348,black_curve,352.5,502.5,26.666668900423076,0.0
2019,2019-07-09,37.229728608986285,23.075320198269978,black_curve,303.0,506.5,28.16864447647465,0.6000000000000009
2019,2019-07-10,35.212638466918605,21.753778381053223,black_curve,332.0,525.5,25.8761536758514,0.0
2019,2019-07-11,33.40421282230621,20.501791396321558,black_curve,358.0,543.5,28.748351173647727,0.0
2019,2019-07-12,34.864864304493146,9.298510293859998,mean_identity_fallback,337.0,,22.081687299176572,0.0
2019,2019-07-13,36.67328994910555,20.1540172338961,black_curve,311.0,548.5,27.93148655846853,0.0
2019,2019-07-14,36.74284478159064,4.3638664809058625,mean_identity_fallback,310.0,,20.55335563124825,0.12631578947368438
2019,2019-07-15,37.02106411153101,8.670628752211996,mean_identity_fallback,306.0,,22.845846431871504,0.0
2019,2019-07-16,38.342605928747766,12.619179497114125,mean_identity_fallback,287.0,,25.480892712930945,0.0
2019,2019-07-17,39.10770908608379,7.269094738531599,mean_identity_fallback,276.0,,23.188401912307693,0.0
2019,2019-07-18,39.73370257844961,14.179335218300388,mean_identity_fallback,267.0,,26.956518898375,0.0
2019,2019-07-19,38.86426717238596,6.247725695453205,mean_identity_fallback,279.5,,22.55599643391958,0.8631578947368433
2019,2019-07-20,36.881954446560826,11.919100534253865,mean_identity_fallback,308.0,,24.400527490407345,1.0736842105263174
