lambda,cal_all_rmse,cal_high_rmse,objective
3.83,2.400852,4.419457,3.410154
3.84,2.400869,4.419594,3.410232
3.85,2.400887,4.419735,3.410311
3.86,2.400905,4.41988,3.410392
3.87,2.400923,4.420028,3.410475
3.88,2.400942,4.42018,3.410561
3.89,2.400961,4.420336,3.410649
3.9,2.400981,4.420496,3.410738
3.91,2.400999,4.420638,3.410819
3.92,2.401017,4.420781,3.410899
3.93,2.401035,4.420927,3.410981
3.94,2.401054,4.421076,3.411065
3.95,2.401073,4.421229,3.411151
3.96,2.401092,4.421385,3.411238
3.97,2.401112,4.421544,3.411328
3.98,2.401132,4.421707,3.41142
3.99,2.401153,4.421873,3.411513
4.0,2.401174,4.422043,3.411608
