gamma,cal_all_rmse,cal_high_rmse,objective
0.216,2.363132,4.41469,3.388911
0.218,2.363022,4.41382,3.388421
0.22,2.362912,4.412954,3.387933
0.222,2.362803,4.412091,3.387447
0.224,2.362695,4.411231,3.386963
0.226,2.362587,4.410375,3.386481
0.228,2.362479,4.409522,3.386
0.23,2.362372,4.408671,3.385522
0.232,2.362265,4.407824,3.385045
0.234,2.362159,4.406981,3.38457
0.236,2.362053,4.40614,3.384096
0.238,2.361947,4.405302,3.383625
0.24,2.361842,4.404468,3.383155
0.242,2.361737,4.403636,3.382687
0.244,2.361632,4.402808,3.38222
0.246,2.361528,4.401983,3.381756
0.248,2.361425,4.401161,3.381293
0.25,2.361322,4.400341,3.380831
0.252,2.361219,4.399525,3.380372
0.254,2.361116,4.398712,3.379914
0.256,2.361014,4.397902,3.379458
0.258,2.360913,4.397095,3.379004
0.26,2.360811,4.39629,3.378551
0.262,2.360711,4.395489,3.3781
0.264,2.36061,4.39469,3.37765
0.266,2.36051,4.393895,3.377202
0.268,2.36041,4.393102,3.376756
0.27,2.360311,4.392313,3.376312
0.272,2.360212,4.391526,3.375869
0.274,2.360113,4.390742,3.375427
0.276,2.360015,4.389961,3.374988
0.278,2.359917,4.389182,3.37455
0.28,2.35982,4.388407,3.374113
0.282,2.359722,4.387634,3.373678
0.284,2.359626,4.386864,3.373245
0.286,2.359529,4.386097,3.372813
0.288,2.359433,4.385332,3.372383
0.29,2.359337,4.384571,3.371954
0.292,2.359242,4.383812,3.371527
0.294,2.359147,4.383055,3.371101
0.296,2.359052,4.382302,3.370677
0.298,2.358958,4.381551,3.370255
0.3,2.358864,4.380803,3.369834
0.302,2.358771,4.380057,3.369414
0.304,2.358677,4.379315,3.368996
0.306,2.358584,4.378574,3.368579
0.308,2.358492,4.377837,3.368164
0.31,2.3584,4.377102,3.367751
0.312,2.358308,4.376369,3.367339
0.314,2.358216,4.37564,3.366928
0.316,2.358125,4.374912,3.366519
0.318,2.358034,4.374188,3.366111
0.32,2.357944,4.373466,3.365705
0.322,2.357853,4.372746,3.3653
0.324,2.357763,4.372029,3.364896
0.326,2.357674,4.371315,3.364494
0.328,2.357585,4.370603,3.364094
0.33,2.357496,4.369893,3.363694
0.332,2.357407,4.369186,3.363297
0.334,2.357319,4.368481,3.3629
0.336,2.357231,4.367779,3.362505
0.338,2.357143,4.36708,3.362111
0.34,2.357056,4.366382,3.361719
0.342,2.356969,4.365687,3.361328
0.344,2.356882,4.364995,3.360939
0.346,2.356796,4.364305,3.36055
0.348,2.35671,4.363617,3.360164
0.35,2.356624,4.362932,3.359778
0.352,2.356538,4.362249,3.359394
0.354,2.356453,4.361569,3.359011
0.356,2.356368,4.36089,3.358629
0.358,2.356284,4.360214,3.358249
0.36,2.3562,4.359541,3.35787
0.362,2.356116,4.358869,3.357493
0.364,2.356032,4.3582,3.357116
0.366,2.355949,4.357534,3.356741
0.368,2.355866,4.356869,3.356367
0.37,2.355783,4.356207,3.355995
0.372,2.3557,4.355547,3.355624
0.374,2.355618,4.35489,3.355254
0.376,2.355536,4.354234,3.354885
0.378,2.355454,4.353581,3.354518
0.38,2.355373,4.35293,3.354151
0.382,2.355292,4.352281,3.353787
0.384,2.355211,4.351634,3.353423
0.386,2.355131,4.35099,3.35306
0.388,2.355051,4.350348,3.352699
0.39,2.354971,4.349707,3.352339
0.392,2.354891,4.349069,3.35198
0.394,2.354812,4.348434,3.351623
0.396,2.354732,4.3478,3.351266
0.398,2.354654,4.347168,3.350911
0.4,2.354575,4.346539,3.350557
0.402,2.354497,4.345911,3.350204
0.404,2.354419,4.345286,3.349852
0.406,2.354341,4.344663,3.349502
0.408,2.354263,4.344042,3.349153
0.41,2.354186,4.343423,3.348804
0.412,2.354109,4.342805,3.348457
0.414,2.354033,4.34219,3.348112
0.416,2.353956,4.341577,3.347767
0.418,2.35388,4.340967,3.347423
0.42,2.353804,4.340358,3.347081
0.422,2.353728,4.339751,3.34674
0.424,2.353653,4.339146,3.346399
0.426,2.353578,4.338543,3.34606
0.428,2.353503,4.337942,3.345722
0.43,2.353428,4.337343,3.345386
0.432,2.353354,4.336746,3.34505
0.434,2.35328,4.336151,3.344715
0.436,2.353206,4.335557,3.344382
0.438,2.353132,4.334966,3.344049
0.44,2.353059,4.334377,3.343718
0.442,2.352986,4.333789,3.343388
0.444,2.352913,4.333204,3.343058
0.446,2.35284,4.33262,3.34273
0.448,2.352768,4.332039,3.342403
0.45,2.352696,4.331459,3.342077
0.452,2.352624,4.330881,3.341752
0.454,2.352552,4.330305,3.341428
0.456,2.35248,4.32973,3.341105
0.458,2.352409,4.329158,3.340784
0.46,2.352338,4.328587,3.340463
0.462,2.352268,4.328019,3.340143
0.464,2.352197,4.327452,3.339824
0.466,2.352127,4.326887,3.339507
0.468,2.352057,4.326323,3.33919
0.47,2.351987,4.325762,3.338874
0.472,2.351917,4.325202,3.33856
0.474,2.351848,4.324644,3.338246
0.476,2.351779,4.324088,3.337934
0.478,2.35171,4.323534,3.337622
0.48,2.351641,4.322981,3.337311
0.482,2.351573,4.32243,3.337002
0.484,2.351504,4.321881,3.336693
0.486,2.351436,4.321334,3.336385
0.488,2.351369,4.320788,3.336078
0.49,2.351301,4.320244,3.335773
0.492,2.351234,4.319702,3.335468
0.494,2.351167,4.319162,3.335164
0.496,2.3511,4.318623,3.334861
0.498,2.351033,4.318086,3.334559
0.5,2.350967,4.31755,3.334258
