solar_date,year,dtr_c,clouds,tmin_c,tmax_c,max_correction_c,curve_min_c,curve_max_c,below_tmin_c,above_tmax_c,rise_reversal_c,fall_reversal_c,rise_monotonic,fall_monotonic
2001-05-25,2001,14.9,0.041773263396995164,11.3,26.2,0.09149398665282943,11.306296505118516,26.199999999986886,0.0,0.0,0.0,0.0,YES,YES
2001-06-03,2001,21.1,0.6966330937986035,10.2,31.3,96.1255413050244,-65.46573498650605,31.299999999981427,75.66573498650605,0.0,6.219846159151718,0.7610460803667074,NO,NO
2001-06-08,2001,18.2,0.8001763866753858,10.4,28.6,59.587998097850765,-31.535078963659352,28.599999999983986,41.93507896365935,0.0,3.836469384468966,0.43949537799584704,NO,NO
2001-06-11,2001,15.6,0.1877970188537943,18.5,34.1,3.2905828348926565,18.51410759227317,34.09999999998627,0.0,0.0,0.15608505825558439,0.0,NO,YES
2001-06-12,2001,18.5,0.5180689548182524,13.8,32.3,41.98396382671555,-10.237050710035302,32.29999999998371,24.037050710035302,0.0,2.681646712302207,0.2797445029881267,NO,NO
2001-06-20,2001,16.9,0.10350785590503186,22.2,39.1,4.760874730550825,22.204498193557967,39.09999999998513,0.0,0.0,0.2479011085749363,0.0,NO,YES
2001-08-12,2001,15.3,0.17726757537272497,21.0,36.3,1.9413035822691136,21.005988248815747,36.29999999998653,0.0,0.0,0.060720772388151545,0.0,NO,YES
2002-09-07,2002,18.4,0.49507965285471744,8.0,26.4,39.03657671932984,-13.369341578902937,26.3999999999838,21.369341578902937,0.0,2.467244102977471,0.38756140285287444,NO,NO
2002-09-14,2002,15.7,0.05741644848892824,17.9,33.6,1.1318085804301996,17.907293785400153,33.59999999998618,0.0,0.0,0.0,0.0,YES,YES
2003-06-23,2003,15.8,0.8260314261261409,14.0,29.8,18.092172392315288,11.226355834595179,29.799999999986092,2.7736441654048214,0.0,1.1260204787163914,0.07476751151446948,NO,NO
2004-05-03,2004,15.3,0.029972814037891315,6.6,21.9,0.32824012592320445,6.601519773003446,21.899999999986534,0.0,0.0,0.0,0.0,YES,YES
2004-05-17,2004,15.3,0.03154411738066054,16.3,31.6,0.3454478798045083,16.309807653546972,31.599999999986537,0.0,0.0,0.0,0.0,YES,YES
2004-07-05,2004,16.1,0.26188233934292837,17.5,33.6,7.456649183130484,17.50736808467049,33.599999999985826,0.0,0.0,0.42693207894312835,0.0,NO,YES
2004-07-08,2004,15.0,0.09407884512678799,16.3,31.3,0.41211281572811537,16.301687252074572,31.2999999999868,0.0,0.0,0.0,0.0,YES,YES
2004-07-12,2004,16.2,0.05981161539355495,21.5,37.7,1.8340354029544252,21.513902715089177,37.69999999998574,0.0,0.0,0.05707271361187338,0.0,NO,YES
2004-07-13,2004,16.1,0.08712520097621745,23.4,39.5,2.4807402451017317,23.401391388110067,39.49999999998583,0.0,0.0,0.09970578985521428,0.0,NO,YES
2004-07-14,2004,15.2,0.15486753379779405,25.4,40.6,1.3567958945980951,25.405128475304256,40.59999999998662,0.0,0.0,0.02939268174988996,0.0,NO,YES
2004-07-28,2004,15.1,0.09407720848501278,17.9,33.0,0.6181584696168865,17.91061478550024,32.99999999998671,0.0,0.0,0.0,0.0,YES,YES
2004-08-23,2004,16.1,0.5403018218032152,11.8,27.9,15.384165073144507,11.802905105479908,27.899999999985827,0.0,0.0,0.9341642889380672,0.08549282610697162,NO,NO
2004-09-07,2004,15.3,0.11304801585357227,16.4,31.7,1.2380183893389134,16.406203121545882,31.69999999998653,0.0,0.0,0.004366170593065988,0.0,NO,YES
2004-09-08,2004,16.1,0.6492907008813322,12.3,28.4,18.487435947336404,9.245685562844528,28.399999999985827,3.0543144371554725,0.0,1.1306757864553347,0.14669480739545193,NO,NO
2005-05-04,2005,15.4,0.017052718325812788,5.2,20.6,0.2240985342325842,5.201529706160331,20.599999999986448,0.0,0.0,0.0,0.0,YES,YES
2005-05-05,2005,16.3,0.04050093347337924,9.3,25.6,1.3306089464776134,9.31064546452562,25.599999999985656,0.0,0.0,0.017624759351143382,0.0,NO,YES
2005-05-30,2005,15.5,0.11080761407950879,12.6,28.1,1.6988764289471858,12.601340711965875,28.09999999998636,0.0,0.0,0.05079509087474676,0.0,NO,YES
2005-06-20,2005,15.2,0.4736028091787061,18.3,33.5,4.149238587364568,18.30404571254918,33.49999999998662,0.0,0.0,0.21426301790981483,0.0,NO,YES
2005-06-25,2005,15.1,0.538933525447912,16.6,31.7,3.541201197197378,16.604917465465995,31.69999999998671,0.0,0.0,0.17474954798294107,0.0,NO,YES
