solar_date,year,rise_monotonic,fall_monotonic,below_tmin_c,above_tmax_c
2023-08-27,2023,YES,YES,0.0,0.0
2023-08-28,2023,YES,YES,0.0,0.0
2023-09-05,2023,YES,YES,0.0,0.0
2023-09-13,2023,YES,YES,0.0,0.0
2024-05-02,2024,YES,YES,0.0,0.0
2024-05-03,2024,YES,YES,0.0,0.0
2024-05-04,2024,YES,YES,0.0,0.0
2024-05-05,2024,YES,YES,0.0,0.0
2024-05-10,2024,YES,YES,0.0,0.0
2024-05-11,2024,YES,YES,0.0,0.0
2024-05-12,2024,YES,YES,0.0,0.0
2024-05-17,2024,YES,YES,0.0,0.0
2024-05-21,2024,YES,YES,0.0,0.0
2024-05-26,2024,YES,YES,0.0,0.0
2024-05-27,2024,YES,YES,0.0,0.0
2024-05-28,2024,YES,YES,0.0,0.0
2024-06-22,2024,YES,YES,0.0,0.0
2024-07-16,2024,YES,YES,0.0,0.0
2024-07-18,2024,YES,YES,0.0,0.0
2024-07-19,2024,YES,YES,0.0,0.0
2024-08-11,2024,YES,YES,0.0,0.0
2024-08-18,2024,YES,YES,0.0,0.0
2024-08-19,2024,YES,YES,0.0,0.0
2024-09-01,2024,YES,YES,0.0,0.0
2024-09-02,2024,YES,YES,0.0,0.0
2024-09-07,2024,YES,YES,0.0,0.0
2024-09-20,2024,YES,YES,0.0,0.0
2024-09-26,2024,YES,YES,0.0,0.0
