lambda,p,cal_all_rmse,cal_high_rmse,objective
2.95,0.1,2.31153,3.990174,3.150852
3.0,0.1,2.311777,3.992294,3.152036
3.05,0.1,2.31206,3.994714,3.153387
3.1,0.1,2.312363,3.997309,3.154836
3.15,0.1,2.312672,3.999952,3.156312
3.2,0.1,2.313014,4.00288,3.157947
3.25,0.1,2.313391,4.006095,3.159743
3.3,0.1,2.3138,4.009594,3.161697
3.35,0.1,2.314244,4.013378,3.163811
3.4,0.1,2.314721,4.017445,3.166083
3.45,0.1,2.315232,4.021794,3.168513
3.5,0.1,2.315776,4.026425,3.171101
3.55,0.1,2.316322,4.031067,3.173694
3.6,0.1,2.316881,4.03582,3.176351
3.65,0.1,2.317468,4.040798,3.179133
3.7,0.1,2.318066,4.045871,3.181969
3.75,0.1,2.318643,4.050763,3.184703
3.8,0.1,2.319231,4.055738,3.187485
3.85,0.1,2.319832,4.060819,3.190326
3.9,0.1,2.320453,4.06606,3.193257
3.95,0.1,2.321099,4.071508,3.196303
4.0,0.1,2.321769,4.07716,3.199465
0.0,0.15,2.378185,4.53268,3.455432
0.05,0.15,2.375558,4.512262,3.44391
0.1,0.15,2.372984,4.492177,3.432581
0.15,0.15,2.370461,4.47243,3.421445
0.2,0.15,2.367989,4.453025,3.410507
0.25,0.15,2.36557,4.433966,3.399768
0.3,0.15,2.363203,4.415258,3.389231
0.35,0.15,2.360889,4.396906,3.378897
0.4,0.15,2.358627,4.378913,3.36877
0.45,0.15,2.356418,4.361285,3.358852
0.5,0.15,2.354261,4.344026,3.349144
0.55,0.15,2.352158,4.32714,3.339649
0.6,0.15,2.350108,4.310631,3.330369
0.65,0.15,2.348111,4.294504,3.321308
0.7,0.15,2.346167,4.278764,3.312466
0.75,0.15,2.344278,4.263414,3.303846
0.8,0.15,2.342441,4.248458,3.29545
0.85,0.15,2.340659,4.233902,3.28728
0.9,0.15,2.33893,4.219749,3.279339
0.95,0.15,2.337256,4.206003,3.271629
1.0,0.15,2.335635,4.192668,3.264152
1.05,0.15,2.334069,4.179748,3.256909
1.1,0.15,2.332558,4.167247,3.249902
1.15,0.15,2.3311,4.155169,3.243135
1.2,0.15,2.329698,4.143517,3.236607
1.25,0.15,2.32835,4.132295,3.230322
1.3,0.15,2.327057,4.121507,3.224282
1.35,0.15,2.325819,4.111155,3.218487
1.4,0.15,2.324635,4.101244,3.21294
1.45,0.15,2.323507,4.091777,3.207642
1.5,0.15,2.322434,4.082756,3.202595
1.55,0.15,2.321416,4.074184,3.1978
1.6,0.15,2.320453,4.066065,3.193259
1.65,0.15,2.319546,4.058401,3.188973
1.7,0.15,2.318694,4.051194,3.184944
1.75,0.15,2.317898,4.044448,3.181173
1.8,0.15,2.317157,4.038164,3.17766
1.85,0.15,2.316472,4.032344,3.174408
1.9,0.15,2.315842,4.026991,3.171417
1.95,0.15,2.315231,4.021792,3.168511
2.0,0.15,2.314651,4.01685,3.165751
2.05,0.15,2.31412,4.012322,3.163221
2.1,0.15,2.313635,4.008181,3.160908
2.15,0.15,2.313195,4.004425,3.15881
2.2,0.15,2.312801,4.001055,3.156928
2.25,0.15,2.312452,3.998073,3.155263
2.3,0.15,2.312149,3.99548,3.153815
2.35,0.15,2.311892,3.993276,3.152584
2.4,0.15,2.31168,3.991461,3.151571
2.45,0.15,2.311514,3.990037,3.150776
2.5,0.15,2.311387,3.988952,3.15017
2.55,0.15,2.311254,3.987814,3.149534
2.6,0.15,2.311165,3.987045,3.149105
2.65,0.15,2.311118,3.986644,3.148881
2.7,0.15,2.311114,3.986611,3.148863
2.75,0.15,2.311153,3.986948,3.14905
2.8,0.15,2.311236,3.987653,3.149444
2.85,0.15,2.311341,3.988559,3.14995
2.9,0.15,2.31146,3.98958,3.15052
2.95,0.15,2.311609,3.990858,3.151234
3.0,0.15,2.311786,3.992374,3.15208
3.05,0.15,2.312,3.994199,3.1531
3.1,0.15,2.312245,3.996303,3.154274
3.15,0.15,2.312486,3.998366,3.155426
3.2,0.15,2.312753,4.00065,3.156701
3.25,0.15,2.313052,4.0032,3.158126
3.3,0.15,2.313382,4.006018,3.1597
3.35,0.15,2.313743,4.009101,3.161422
3.4,0.15,2.314135,4.012451,3.163293
3.45,0.15,2.314559,4.016065,3.165312
3.5,0.15,2.315014,4.019944,3.167479
3.55,0.15,2.315501,4.024086,3.169793
3.6,0.15,2.316018,4.02849,3.172254
3.65,0.15,2.316566,4.033145,3.174856
3.7,0.15,2.31714,4.038018,3.177579
3.75,0.15,2.317692,4.0427,3.180196
3.8,0.15,2.318212,4.047111,3.182661
3.85,0.15,2.31874,4.051578,3.185159
3.9,0.15,2.319274,4.056101,3.187688
3.95,0.15,2.319832,4.060817,3.190324
4.0,0.15,2.320413,4.065724,3.193068
0.0,0.2,2.378185,4.53268,3.455432
0.05,0.2,2.375649,4.51297,3.44431
0.1,0.2,2.373162,4.493574,3.433368
0.15,0.2,2.370724,4.474496,3.42261
0.2,0.2,2.368335,4.45574,3.412038
0.25,0.2,2.365994,4.437311,3.401653
0.3,0.2,2.363703,4.419212,3.391457
0.35,0.2,2.361461,4.401447,3.381454
0.4,0.2,2.359268,4.38402,3.371644
0.45,0.2,2.357125,4.366936,3.362031
0.5,0.2,2.355032,4.350198,3.352615
0.55,0.2,2.352988,4.333811,3.3434
