alpha,beta,q0,cal_all_rmse,cal_high_rmse,objective
0.6,3.0,0.362628,2.398599,4.689084,3.543841
0.7,0.0,0.362628,2.3733,4.49465,3.433975
0.7,0.1,0.362628,2.378408,4.534409,3.456409
0.7,0.2,0.362628,2.382072,4.562767,3.47242
0.7,0.3,0.362628,2.384757,4.583465,3.484111
0.7,0.4,0.362628,2.386788,4.59908,3.492934
0.7,0.5,0.362628,2.388373,4.611236,3.499804
0.7,0.6,0.362628,2.389644,4.620962,3.505303
0.7,0.7,0.362628,2.390686,4.628927,3.509806
0.7,0.8,0.362628,2.391557,4.635581,3.513569
0.7,0.9,0.362628,2.392298,4.641233,3.516766
0.7,1.0,0.362628,2.392937,4.646104,3.519521
0.7,1.1,0.362628,2.393495,4.650354,3.521925
0.7,1.2,0.362628,2.393988,4.654101,3.524044
0.7,1.3,0.362628,2.394426,4.657436,3.525931
0.7,1.4,0.362628,2.39482,4.660427,3.527623
0.7,1.5,0.362628,2.395175,4.663129,3.529152
0.7,1.6,0.362628,2.395498,4.665585,3.530542
0.7,1.7,0.362628,2.395794,4.667829,3.531812
0.7,1.8,0.362628,2.396066,4.66989,3.532978
0.7,1.9,0.362628,2.396316,4.671791,3.534054
0.7,2.0,0.362628,2.396548,4.673552,3.53505
0.7,2.1,0.362628,2.396764,4.675189,3.535976
0.7,2.2,0.362628,2.396965,4.676715,3.53684
0.7,2.3,0.362628,2.397154,4.678143,3.537649
0.7,2.4,0.362628,2.397331,4.679483,3.538407
0.7,2.5,0.362628,2.397497,4.680743,3.53912
0.7,2.6,0.362628,2.397654,4.681931,3.539793
0.7,2.7,0.362628,2.397802,4.683054,3.540428
0.7,2.8,0.362628,2.397942,4.684117,3.54103
0.7,2.9,0.362628,2.398076,4.685126,3.541601
0.7,3.0,0.362628,2.398202,4.686085,3.542144
0.8,0.0,0.362628,2.372948,4.491899,3.432423
0.8,0.1,0.362628,2.378056,4.531682,3.454869
0.8,0.2,0.362628,2.381721,4.560057,3.470889
0.8,0.3,0.362628,2.384406,4.580768,3.482587
0.8,0.4,0.362628,2.386438,4.596391,3.491415
0.8,0.5,0.362628,2.388023,4.608554,3.498289
0.8,0.6,0.362628,2.389294,4.618286,3.50379
0.8,0.7,0.362628,2.390336,4.626256,3.508296
0.8,0.8,0.362628,2.391208,4.632913,3.51206
0.8,0.9,0.362628,2.391949,4.638569,3.515259
0.8,1.0,0.362628,2.392588,4.643442,3.518015
0.8,1.1,0.362628,2.393146,4.647695,3.52042
0.8,1.2,0.362628,2.393639,4.651444,3.522541
0.8,1.3,0.362628,2.394077,4.654781,3.524429
0.8,1.4,0.362628,2.394471,4.657774,3.526122
0.8,1.5,0.362628,2.394826,4.660477,3.527652
0.8,1.6,0.362628,2.39515,4.662934,3.529042
0.8,1.7,0.362628,2.395445,4.66518,3.530313
0.8,1.8,0.362628,2.395717,4.667242,3.531479
0.8,1.9,0.362628,2.395967,4.669144,3.532556
0.8,2.0,0.362628,2.396199,4.670906,3.533553
0.8,2.1,0.362628,2.396415,4.672544,3.53448
0.8,2.2,0.362628,2.396617,4.674071,3.535344
0.8,2.3,0.362628,2.396805,4.6755,3.536153
0.8,2.4,0.362628,2.396982,4.676841,3.536911
0.8,2.5,0.362628,2.397148,4.678101,3.537625
0.8,2.6,0.362628,2.397305,4.67929,3.538298
0.8,2.7,0.362628,2.397453,4.680414,3.538934
0.8,2.8,0.362628,2.397594,4.681478,3.539536
0.8,2.9,0.362628,2.397727,4.682487,3.540107
0.8,3.0,0.362628,2.397854,4.683446,3.54065
0.9,0.0,0.362628,2.372635,4.489455,3.431045
0.9,0.1,0.362628,2.377744,4.52926,3.453502
0.9,0.2,0.362628,2.381409,4.55765,3.46953
0.9,0.3,0.362628,2.384095,4.578372,3.481233
0.9,0.4,0.362628,2.386127,4.594003,3.490065
0.9,0.5,0.362628,2.387713,4.606173,3.496943
0.9,0.6,0.362628,2.388983,4.615909,3.502446
0.9,0.7,0.362628,2.390026,4.623883,3.506954
0.9,0.8,0.362628,2.390897,4.630544,3.510721
0.9,0.9,0.362628,2.391639,4.636202,3.513921
0.9,1.0,0.362628,2.392278,4.641079,3.516678
0.9,1.1,0.362628,2.392836,4.645333,3.519085
0.9,1.2,0.362628,2.393329,4.649085,3.521207
0.9,1.3,0.362628,2.393767,4.652423,3.523095
0.9,1.4,0.362628,2.394161,4.655417,3.524789
0.9,1.5,0.362628,2.394516,4.658122,3.526319
0.9,1.6,0.362628,2.39484,4.660581,3.52771
0.9,1.7,0.362628,2.395135,4.662827,3.528981
0.9,1.8,0.362628,2.395407,4.664891,3.530149
0.9,1.9,0.362628,2.395658,4.666794,3.531226
0.9,2.0,0.362628,2.39589,4.668557,3.532223
0.9,2.1,0.362628,2.396106,4.670195,3.53315
0.9,2.2,0.362628,2.396307,4.671723,3.534015
0.9,2.3,0.362628,2.396496,4.673153,3.534824
