gamma,cal_all_rmse,cal_high_rmse,objective
0.492,2.411886,4.50745,3.459668
0.494,2.412014,4.508461,3.460237
0.496,2.412144,4.509487,3.460816
0.498,2.412276,4.510529,3.461402
0.5,2.412409,4.511587,3.461998
0.502,2.412545,4.51266,3.462602
0.504,2.412683,4.513748,3.463215
0.506,2.412822,4.514852,3.463837
0.508,2.412964,4.515972,3.464468
0.51,2.413108,4.517107,3.465107
0.512,2.413253,4.518258,3.465756
0.514,2.413401,4.519424,3.466413
0.516,2.413551,4.520607,3.467079
0.518,2.413702,4.521805,3.467753
0.52,2.413856,4.523018,3.468437
0.522,2.414012,4.524247,3.46913
0.524,2.414169,4.525492,3.469831
0.526,2.414329,4.526753,3.470541
0.528,2.414491,4.52803,3.47126
0.53,2.414655,4.529322,3.471988
0.532,2.414821,4.53063,3.472725
0.534,2.414989,4.531954,3.473471
0.536,2.415159,4.533294,3.474226
0.538,2.41533,4.534644,3.474987
0.54,2.415503,4.536002,3.475752
0.542,2.415677,4.537376,3.476527
0.544,2.415853,4.538766,3.47731
0.546,2.416032,4.540171,3.478101
0.548,2.416212,4.541591,3.478902
0.55,2.416395,4.543027,3.479711
0.552,2.41658,4.544479,3.480529
0.554,2.416766,4.545947,3.481356
0.556,2.416955,4.54743,3.482192
0.558,2.417145,4.548929,3.483037
0.56,2.417338,4.550443,3.483891
0.562,2.417533,4.551973,3.484753
0.564,2.41773,4.553519,3.485624
0.566,2.417929,4.55508,3.486504
0.568,2.418129,4.556657,3.487393
0.57,2.418332,4.55825,3.488291
0.572,2.418537,4.559858,3.489198
0.574,2.418744,4.561482,3.490113
0.576,2.418953,4.563121,3.491037
0.578,2.419165,4.564777,3.491971
0.58,2.419376,4.566438,3.492907
0.582,2.419585,4.568069,3.493827
0.584,2.419794,4.569709,3.494752
0.586,2.419983,4.571186,3.495584
0.588,2.42017,4.572651,3.49641
0.59,2.420354,4.57409,3.497222
0.592,2.420539,4.575539,3.498039
0.594,2.420725,4.577,3.498863
0.596,2.420914,4.578474,3.499694
0.598,2.421104,4.579959,3.500531
0.6,2.421295,4.581456,3.501376
0.602,2.421488,4.582966,3.502227
0.604,2.421683,4.584488,3.503086
0.606,2.421879,4.586016,3.503948
0.608,2.422076,4.587555,3.504815
0.61,2.422274,4.589105,3.50569
0.612,2.422474,4.590666,3.50657
0.614,2.422676,4.592239,3.507457
0.616,2.422879,4.593823,3.508351
0.618,2.423083,4.595418,3.509251
0.62,2.423289,4.597025,3.510157
0.622,2.423495,4.598626,3.511061
0.624,2.423701,4.600232,3.511967
0.626,2.423905,4.60182,3.512862
0.628,2.42411,4.603418,3.513764
0.63,2.424316,4.605026,3.514671
0.632,2.424524,4.606645,3.515584
0.634,2.424733,4.608274,3.516504
0.636,2.424944,4.609913,3.517429
0.638,2.42515,4.611514,3.518332
0.64,2.425354,4.613099,3.519227
0.642,2.425559,4.614695,3.520127
0.644,2.425766,4.616301,3.521033
0.646,2.425974,4.617918,3.521946
0.648,2.426183,4.619544,3.522864
0.65,2.426394,4.621181,3.523787
0.652,2.426606,4.622829,3.524717
0.654,2.426819,4.624486,3.525653
0.656,2.427034,4.626154,3.526594
0.658,2.427251,4.627833,3.527542
0.66,2.427468,4.629521,3.528495
0.662,2.427688,4.631223,3.529455
0.664,2.427909,4.632935,3.530422
0.666,2.428131,4.634657,3.531394
0.668,2.428343,4.636304,3.532324
0.67,2.428551,4.637916,3.533234
0.672,2.428761,4.639537,3.534149
0.674,2.428971,4.641168,3.535069
0.676,2.429183,4.642808,3.535996
0.678,2.429396,4.644458,3.536927
0.68,2.429603,4.646059,3.537831
0.682,2.42981,4.64766,3.538735
0.684,2.430019,4.649269,3.539644
0.686,2.430228,4.650889,3.540558
0.688,2.430424,4.652406,3.541415
0.69,2.430617,4.653895,3.542256
0.692,2.430807,4.65536,3.543083
0.694,2.430998,4.656834,3.543916
0.696,2.43119,4.658317,3.544753
0.698,2.431383,4.659809,3.545596
0.7,2.431577,4.661303,3.54644
0.702,2.43177,4.662792,3.547281
0.704,2.431961,4.664267,3.548114
0.706,2.432153,4.665748,3.54895
0.708,2.432346,4.667237,3.549792
0.71,2.43254,4.668735,3.550638
0.712,2.432736,4.670242,3.551489
0.714,2.432933,4.671758,3.552345
0.716,2.43313,4.673277,3.553203
0.718,2.433328,4.674802,3.554065
0.72,2.433527,4.676335,3.554931
0.722,2.433727,4.677875,3.555801
0.724,2.433922,4.679372,3.556647
0.726,2.434118,4.680878,3.557498
0.728,2.434314,4.682392,3.558353
0.73,2.434512,4.683914,3.559213
0.732,2.434712,4.685444,3.560078
0.734,2.434912,4.686983,3.560947
0.736,2.435113,4.688529,3.561821
0.738,2.435315,4.690084,3.5627
0.74,2.435519,4.691646,3.563583
0.742,2.435723,4.693217,3.56447
0.744,2.435929,4.694796,3.565363
0.746,2.436136,4.696383,3.566259
0.748,2.436344,4.697978,3.567161
0.75,2.436553,4.699581,3.568067
0.752,2.436763,4.701193,3.568978
0.754,2.436973,4.702805,3.569889
0.756,2.437179,4.70438,3.570779
0.758,2.437385,4.705962,3.571674
0.76,2.437593,4.707552,3.572572
0.762,2.437802,4.70915,3.573476
0.764,2.438011,4.710757,3.574384
0.766,2.438222,4.712371,3.575297
0.768,2.438434,4.713993,3.576214
0.77,2.438647,4.715624,3.577135
0.772,2.438862,4.717262,3.578062
0.774,2.439077,4.718908,3.578993
0.776,2.439293,4.720563,3.579928
0.778,2.439511,4.722225,3.580868
0.78,2.43973,4.723895,3.581812
0.782,2.439949,4.725574,3.582761
0.784,2.44017,4.72726,3.583715
0.786,2.440392,4.728955,3.584673
0.788,2.440615,4.730657,3.585636
0.79,2.440839,4.732367,3.586603
0.792,2.441065,4.734086,3.587575
0.794,2.441291,4.735812,3.588551
0.796,2.441518,4.737546,3.589532
0.798,2.441747,4.739289,3.590518
0.8,2.441977,4.741039,3.591508
