lambda,k,peak_q,cal_all_rmse,cal_high_rmse,objective
0.0,1.0,0.5,2.378185,4.53268,3.455432
0.1,1.0,0.5,2.374906,4.507178,3.441042
0.2,1.0,0.5,2.371727,4.482354,3.427041
0.3,1.0,0.5,2.36865,4.458219,3.413435
0.4,1.0,0.5,2.365674,4.434785,3.400229
0.5,1.0,0.5,2.3628,4.412062,3.387431
0.6,1.0,0.5,2.360028,4.390062,3.375045
0.7,1.0,0.5,2.357358,4.368795,3.363076
0.8,1.0,0.5,2.354791,4.348272,3.351532
0.9,1.0,0.5,2.352328,4.328504,3.340416
1.0,1.0,0.5,2.349968,4.309501,3.329735
1.1,1.0,0.5,2.347712,4.291274,3.319493
1.2,1.0,0.5,2.34556,4.273832,3.309696
1.3,1.0,0.5,2.343512,4.257185,3.300349
1.4,1.0,0.5,2.341569,4.241342,3.291456
1.5,1.0,0.5,2.339731,4.226313,3.283022
1.6,1.0,0.5,2.337999,4.212106,3.275052
1.7,1.0,0.5,2.336371,4.198729,3.26755
1.8,1.0,0.5,2.33485,4.18619,3.26052
1.9,1.0,0.5,2.333434,4.174498,3.253966
2.0,1.0,0.5,2.332124,4.163658,3.247891
2.1,1.0,0.5,2.330921,4.153678,3.242299
2.2,1.0,0.5,2.329824,4.144564,3.237194
2.3,1.0,0.5,2.328833,4.136322,3.232578
2.4,1.0,0.5,2.327949,4.128957,3.228453
2.5,1.0,0.5,2.327112,4.121967,3.22454
2.6,1.0,0.5,2.326334,4.115467,3.220901
2.7,1.0,0.5,2.325637,4.109639,3.217638
2.8,1.0,0.5,2.325022,4.104484,3.214753
2.9,1.0,0.5,2.324399,4.099267,3.211833
3.0,1.0,0.5,2.323836,4.094539,3.209187
3.1,1.0,0.5,2.323345,4.09042,3.206883
3.2,1.0,0.5,2.322928,4.086912,3.20492
3.3,1.0,0.5,2.322584,4.084016,3.2033
3.4,1.0,0.5,2.322313,4.081735,3.202024
3.5,1.0,0.5,2.322065,4.079653,3.200859
3.6,1.0,0.5,2.321827,4.077647,3.199737
3.7,1.0,0.5,2.321653,4.076179,3.198916
3.8,1.0,0.5,2.321542,4.075248,3.198395
3.9,1.0,0.5,2.321496,4.074856,3.198176
4.0,1.0,0.5,2.321513,4.075003,3.198258
4.1,1.0,0.5,2.321589,4.075641,3.198615
4.2,1.0,0.5,2.321724,4.076783,3.199253
4.3,1.0,0.5,2.321919,4.078422,3.200171
4.4,1.0,0.5,2.322133,4.080226,3.20118
4.5,1.0,0.5,2.322373,4.082243,3.202308
4.6,1.0,0.5,2.322642,4.08451,3.203576
4.7,1.0,0.5,2.322904,4.086713,3.204809
4.8,1.0,0.5,2.323196,4.089168,3.206182
4.9,1.0,0.5,2.323537,4.092028,3.207783
5.0,1.0,0.5,2.323926,4.095293,3.209609
0.0,1.5,0.4,2.378185,4.53268,3.455432
0.1,1.5,0.4,2.374975,4.507714,3.441344
0.2,1.5,0.4,2.37184,4.483238,3.427539
0.3,1.5,0.4,2.368782,4.45926,3.414021
0.4,1.5,0.4,2.365801,4.435788,3.400795
0.5,1.5,0.4,2.362897,4.412832,3.387864
0.6,1.5,0.4,2.36007,4.390397,3.375233
0.7,1.5,0.4,2.35732,4.368493,3.362907
0.8,1.5,0.4,2.354649,4.347128,3.350888
0.9,1.5,0.4,2.352055,4.326309,3.339182
1.0,1.5,0.4,2.349539,4.306045,3.327792
1.1,1.5,0.4,2.347103,4.286343,3.316723
1.2,1.5,0.4,2.344745,4.267211,3.305978
1.3,1.5,0.4,2.342466,4.248657,3.295561
1.4,1.5,0.4,2.340266,4.230688,3.285477
1.5,1.5,0.4,2.338146,4.213313,3.275729
1.6,1.5,0.4,2.336105,4.196537,3.266321
1.7,1.5,0.4,2.334145,4.180369,3.257257
1.8,1.5,0.4,2.332264,4.164816,3.24854
1.9,1.5,0.4,2.330464,4.149884,3.240174
2.0,1.5,0.4,2.328744,4.135581,3.232162
2.1,1.5,0.4,2.327105,4.121912,3.224509
2.2,1.5,0.4,2.325547,4.108884,3.217216
2.3,1.5,0.4,2.32407,4.096504,3.210287
2.4,1.5,0.4,2.322674,4.084776,3.203725
2.5,1.5,0.4,2.321359,4.073708,3.197534
2.6,1.5,0.4,2.320126,4.063303,3.191715
2.7,1.5,0.4,2.318975,4.053568,3.186271
2.8,1.5,0.4,2.317905,4.044507,3.181206
2.9,1.5,0.4,2.316917,4.036124,3.17652
3.0,1.5,0.4,2.316011,4.028424,3.172217
3.1,1.5,0.4,2.315187,4.021411,3.168299
3.2,1.5,0.4,2.314445,4.015089,3.164767
3.3,1.5,0.4,2.313785,4.00946,3.161622
3.4,1.5,0.4,2.313207,4.004527,3.158867
3.5,1.5,0.4,2.312712,4.000294,3.156503
3.6,1.5,0.4,2.312299,3.996762,3.154531
3.7,1.5,0.4,2.311925,3.99356,3.152742
3.8,1.5,0.4,2.311552,3.990369,3.150961
3.9,1.5,0.4,2.311224,3.987551,3.149387
4.0,1.5,0.4,2.310961,3.985296,3.148128
4.1,1.5,0.4,2.310764,3.983605,3.147184
4.2,1.5,0.4,2.310632,3.982479,3.146555
4.3,1.5,0.4,2.310545,3.981731,3.146138
4.4,1.5,0.4,2.310479,3.981165,3.145822
4.5,1.5,0.4,2.310446,3.980881,3.145664
4.6,1.5,0.4,2.310434,3.980775,3.145604
4.7,1.5,0.4,2.310476,3.98114,3.145808
4.8,1.5,0.4,2.310574,3.981976,3.146275
4.9,1.5,0.4,2.310726,3.983282,3.147004
5.0,1.5,0.4,2.310915,3.984906,3.14791
0.0,2.0,0.333333,2.378185,4.53268,3.455432
0.1,2.0,0.333333,2.375026,4.508113,3.44157
0.2,2.0,0.333333,2.371936,4.483982,3.427959
0.3,2.0,0.333333,2.368914,4.460294,3.414604
0.4,2.0,0.333333,2.365962,4.437055,3.401508
0.5,2.0,0.333333,2.363079,4.414272,3.388675
0.6,2.0,0.333333,2.360266,4.391953,3.376109
0.7,2.0,0.333333,2.357522,4.370104,3.363813
0.8,2.0,0.333333,2.354849,4.348734,3.351791
0.9,2.0,0.333333,2.352246,4.327848,3.340047
1.0,2.0,0.333333,2.349714,4.307455,3.328584
1.1,2.0,0.333333,2.347253,4.28756,3.317406
1.2,2.0,0.333333,2.344863,4.268171,3.306517
1.3,2.0,0.333333,2.342544,4.249295,3.29592
1.4,2.0,0.333333,2.340296,4.230939,3.285618
1.5,2.0,0.333333,2.338121,4.213109,3.275615
1.6,2.0,0.333333,2.336017,4.195813,3.265915
1.7,2.0,0.333333,2.333986,4.179056,3.256521
1.8,2.0,0.333333,2.332026,4.162846,3.247436
1.9,2.0,0.333333,2.330139,4.147189,3.238664
2.0,2.0,0.333333,2.328325,4.132091,3.230208
2.1,2.0,0.333333,2.326584,4.117558,3.222071
2.2,2.0,0.333333,2.324916,4.103596,3.214256
2.3,2.0,0.333333,2.323321,4.090211,3.206766
2.4,2.0,0.333333,2.321799,4.077409,3.199604
