solar_date,year,sunset_reduction_c,ts_capped_at_tmin,rise_monotonic,postpeak_to_midnight_monotonic,midnight_to_tmin_monotonic,below_tmin_c,above_tmax_c
2007-05-28,2007,13.422055511953001,YES,YES,YES,YES,0.0,0.0
2007-06-29,2007,11.76062863251453,NO,YES,YES,YES,0.0,0.0
2007-08-11,2007,0.08616333629730377,NO,YES,YES,YES,0.0,0.0
2007-08-12,2007,18.108865670660958,YES,YES,YES,YES,0.0,0.0
2007-09-16,2007,0.0,NO,YES,YES,YES,0.0,0.0
2008-05-08,2008,0.46949256507833326,NO,YES,YES,YES,0.0,0.0
2008-06-10,2008,0.8683808197568261,NO,YES,YES,YES,0.0,0.0
2008-06-11,2008,14.146196915834688,YES,YES,YES,YES,0.0,0.0
2008-06-15,2008,1.506022473306242,NO,YES,YES,YES,0.0,0.0
2008-06-22,2008,0.6959062622134375,NO,YES,YES,YES,0.0,0.0
2008-08-07,2008,0.8093363136691458,NO,YES,YES,YES,0.0,0.0
2009-05-18,2009,0.6564105641271283,NO,YES,YES,YES,0.0,0.0
2009-05-19,2009,13.569203787404664,YES,YES,YES,YES,0.0,0.0
2009-05-27,2009,0.10529083119341287,NO,YES,YES,YES,0.0,0.0
2009-06-03,2009,8.078571659629638,NO,YES,YES,YES,0.0,0.0
2009-07-12,2009,0.41928018759484686,NO,YES,YES,YES,0.0,0.0
2009-08-08,2009,0.2805477256176516,NO,YES,YES,YES,0.0,0.0
2009-08-09,2009,0.21128968871413178,NO,YES,YES,YES,0.0,0.0
2009-08-25,2009,0.2538492025179764,NO,YES,YES,YES,0.0,0.0
2009-08-29,2009,2.3886899496392857,NO,YES,YES,YES,0.0,0.0
2009-09-02,2009,1.6694155207770258,NO,YES,YES,YES,0.0,0.0
2010-05-14,2010,13.141185437608055,YES,YES,YES,YES,0.0,0.0
2010-05-17,2010,1.617137892214327,NO,YES,YES,YES,0.0,0.0
2010-05-18,2010,0.4723693322862772,NO,YES,YES,YES,0.0,0.0
2010-07-14,2010,0.5912895855215581,NO,YES,YES,YES,0.0,0.0
2010-08-11,2010,5.315887570145204,NO,YES,YES,YES,0.0,0.0
2010-08-24,2010,5.503839720359505,NO,YES,YES,YES,0.0,0.0
2010-09-11,2010,1.2781736484405428,NO,YES,YES,YES,0.0,0.0
2010-09-12,2010,0.8890784507926028,NO,YES,YES,YES,0.0,0.0
2011-05-17,2011,12.709818314577491,YES,YES,YES,YES,0.0,0.0
2012-05-14,2012,1.1565984333754358,NO,YES,YES,YES,0.0,0.0
2012-08-22,2012,0.1484103098710463,NO,YES,YES,YES,0.0,0.0
2012-08-25,2012,1.714578766384939,NO,YES,YES,YES,0.0,0.0
2012-09-01,2012,0.020012911266547917,NO,YES,YES,YES,0.0,0.0
2014-05-18,2014,0.06676747513983372,NO,YES,YES,YES,0.0,0.0
2014-07-11,2014,0.05159660751509065,NO,YES,YES,YES,0.0,0.0
2014-07-20,2014,0.6512416943737982,NO,YES,YES,YES,0.0,0.0
2014-09-01,2014,1.3336503069320713,NO,YES,YES,YES,0.0,0.0
2014-09-06,2014,0.19535206906837743,NO,YES,YES,YES,0.0,0.0
2014-09-15,2014,0.10971675669221881,NO,YES,YES,YES,0.0,0.0
2014-09-18,2014,0.18631700385073557,NO,YES,YES,YES,0.0,0.0
2020-05-01,2020,0.48485900916483615,NO,YES,YES,YES,0.0,0.0
2020-05-03,2020,0.5795494888544077,NO,YES,YES,YES,0.0,0.0
2020-05-05,2020,6.115872788007639,NO,YES,YES,YES,0.0,0.0
2020-05-06,2020,10.197459521727769,NO,YES,YES,YES,0.0,0.0
2020-05-08,2020,0.606168604885962,NO,YES,YES,YES,0.0,0.0
2020-05-09,2020,0.16377076240217292,NO,YES,YES,YES,0.0,0.0
2020-05-28,2020,0.600846642061466,NO,YES,YES,YES,0.0,0.0
2020-06-05,2020,15.804001531887364,YES,YES,YES,YES,0.0,0.0
2020-06-06,2020,14.842820750846025,YES,YES,YES,YES,0.0,0.0
2020-06-17,2020,3.737460095966128,NO,YES,YES,YES,0.0,0.0
2020-06-20,2020,1.460930201457888,NO,YES,YES,YES,0.0,0.0
2020-06-21,2020,2.7370338987969873,NO,YES,YES,YES,0.0,0.0
2020-06-28,2020,14.718077031967344,YES,YES,YES,YES,0.0,0.0
2020-07-01,2020,0.15828767970291224,NO,YES,YES,YES,0.0,0.0
2020-07-02,2020,0.38228423987863636,NO,YES,YES,YES,0.0,0.0
2020-07-27,2020,11.465947297377191,NO,YES,YES,YES,0.0,0.0
2020-07-28,2020,2.6528162610625365,NO,YES,YES,YES,0.0,0.0
2020-07-29,2020,0.34816319106614557,NO,YES,YES,YES,0.0,0.0
2020-07-30,2020,1.2889959650069152,NO,YES,YES,YES,0.0,0.0
2020-08-14,2020,6.903821888244497,NO,YES,YES,YES,0.0,0.0
2020-08-18,2020,0.8690372301822009,NO,YES,YES,YES,0.0,0.0
2020-08-19,2020,6.2287951909443855,NO,YES,YES,YES,0.0,0.0
2020-08-25,2020,3.827039179411159,NO,YES,YES,YES,0.0,0.0
2020-09-06,2020,0.7409099912768369,NO,YES,YES,YES,0.0,0.0
2020-09-17,2020,0.12159421137403825,NO,YES,YES,YES,0.0,0.0
2020-09-18,2020,7.568831205914542,NO,YES,YES,YES,0.0,0.0
2021-05-01,2021,16.80442280645176,YES,YES,YES,YES,0.0,0.0
2021-05-02,2021,7.208003401705648,NO,YES,YES,YES,0.0,0.0
2021-05-04,2021,0.7519311657924987,NO,YES,YES,YES,0.0,0.0
2021-05-05,2021,0.015652350563989614,NO,YES,YES,YES,0.0,0.0
2021-05-06,2021,0.39736626541962394,NO,YES,YES,YES,0.0,0.0
2021-05-07,2021,0.4862197947561029,NO,YES,YES,YES,0.0,0.0
2021-05-08,2021,0.21735702283140412,NO,YES,YES,YES,0.0,0.0
2021-05-11,2021,1.6935659597202282,NO,YES,YES,YES,0.0,0.0
2021-05-20,2021,9.334861210068414,NO,YES,YES,YES,0.0,0.0
2021-05-21,2021,3.499550913577579,NO,YES,YES,YES,0.0,0.0
2021-05-23,2021,0.08418459553067947,NO,YES,YES,YES,0.0,0.0
2021-05-24,2021,0.014562422323326274,NO,YES,YES,YES,0.0,0.0
2021-06-05,2021,2.546557083393626,NO,YES,YES,YES,0.0,0.0
2021-06-06,2021,0.956952864764542,NO,YES,YES,YES,0.0,0.0
