gamma,cal_all_rmse,cal_high_rmse,objective
1.71,2.331486,4.158371,3.244929
1.72,2.331416,4.157787,3.244601
1.73,2.331346,4.157208,3.244277
1.74,2.331277,4.156636,3.243957
1.75,2.331209,4.15607,3.24364
1.76,2.331142,4.155511,3.243326
1.77,2.331075,4.154957,3.243016
1.78,2.331009,4.154409,3.242709
1.79,2.330944,4.153868,3.242406
1.8,2.330879,4.153332,3.242105
1.81,2.330815,4.152801,3.241808
1.82,2.330752,4.152277,3.241514
1.83,2.33069,4.151758,3.241224
1.84,2.330628,4.151245,3.240936
1.85,2.330567,4.150737,3.240652
1.86,2.330506,4.150235,3.24037
1.87,2.330446,4.149738,3.240092
1.88,2.330387,4.149246,3.239817
1.89,2.330329,4.14876,3.239544
1.9,2.330271,4.148279,3.239275
1.91,2.330213,4.147803,3.239008
1.92,2.330157,4.147332,3.238744
1.93,2.330101,4.146866,3.238484
1.94,2.330045,4.146406,3.238225
1.95,2.32999,4.14595,3.23797
1.96,2.329936,4.145499,3.237717
1.97,2.329882,4.145052,3.237467
1.98,2.329829,4.144611,3.23722
1.99,2.329777,4.144174,3.236976
2.0,2.329725,4.143742,3.236734
