solar_date,month,season,n_points,formal_dtr_c,daily_rmse_c,daily_mae_c,daily_mbe_c
2000-08-22,8,May-Sep,8,10.6,0.6507,0.5471,-0.0681
2000-08-23,8,May-Sep,8,14.1,1.132,0.8115,0.3188
2000-08-24,8,May-Sep,8,15.9,8.1694,6.7006,5.1566
2000-08-25,8,May-Sep,8,10.3,0.8766,0.6203,-0.4834
2000-08-26,8,May-Sep,8,12.2,0.868,0.5455,-0.1834
2000-08-27,8,May-Sep,8,13.3,0.7143,0.5795,-0.4694
2000-08-28,8,May-Sep,8,13.8,1.0039,0.8718,-0.0913
2000-08-29,8,May-Sep,8,13.7,1.4003,1.1177,0.4645
2000-08-30,8,May-Sep,8,9.7,3.0232,2.4099,2.2181
2000-08-31,8,May-Sep,8,9.8,2.715,2.2071,1.8498
2000-09-01,9,May-Sep,7,11.6,4.6872,4.2275,1.9281
2000-09-02,9,May-Sep,8,12.4,1.8495,1.2719,-0.7426
2000-09-03,9,May-Sep,8,10.3,0.7945,0.4701,-0.4701
2000-09-04,9,May-Sep,8,15.5,3.0706,1.9517,-1.3202
2000-09-05,9,May-Sep,8,6.0,0.8632,0.6813,0.4078
2000-09-06,9,May-Sep,7,9.3,2.4009,2.0308,0.9833
2000-09-07,9,May-Sep,8,10.6,1.3635,0.9541,-0.2458
2000-09-08,9,May-Sep,6,8.6,1.499,1.305,-0.294
2000-09-09,9,May-Sep,8,7.9,0.5175,0.3847,-0.302
2000-09-10,9,May-Sep,8,10.9,0.7924,0.604,-0.1047
2000-09-11,9,May-Sep,8,12.3,0.6365,0.568,-0.2908
2000-09-12,9,May-Sep,8,12.5,1.3848,0.9934,0.1246
2000-09-13,9,May-Sep,8,14.3,0.9452,0.7948,-0.107
2000-09-14,9,May-Sep,8,14.2,1.0268,0.7596,0.1487
2000-09-15,9,May-Sep,8,10.1,1.4605,1.1524,0.4135
2000-09-16,9,May-Sep,8,6.6,1.3315,1.0383,0.1988
2000-09-17,9,May-Sep,8,11.1,1.1476,0.7566,-0.2516
2000-09-18,9,May-Sep,8,8.3,1.0631,0.9698,0.2131
2000-09-19,9,May-Sep,8,10.8,3.1304,2.2778,-1.847
2000-09-20,9,May-Sep,8,15.3,8.1941,7.1138,3.4921
2000-09-21,9,May-Sep,8,8.5,0.6192,0.44,-0.1682
2000-09-22,9,May-Sep,8,10.0,1.502,1.0583,-0.8785
2000-09-23,9,May-Sep,8,9.6,1.0182,0.8233,-0.5658
2000-09-24,9,May-Sep,7,14.2,1.5849,1.3261,-0.5784
2000-09-25,9,May-Sep,7,12.7,1.8087,1.3473,-0.8263
2000-09-26,9,May-Sep,8,16.5,8.1154,7.073,3.0098
