branch,k,n,cal_rmse
pre,0.73,95,8.098177853849903
pre,0.74,95,8.09809051948341
pre,0.75,95,8.098003213626498
pre,0.76,95,8.097915936063348
pre,0.77,95,8.097828686586942
pre,0.78,95,8.097741464998672
pre,0.79,95,8.09765427110797
pre,0.8,95,8.097567104731983
pre,0.81,95,8.097479965695223
pre,0.8200000000000001,95,8.097392853829263
pre,0.8300000000000001,95,8.097305768972422
pre,0.84,95,8.097218710969479
pre,0.85,95,8.097131679671405
pre,0.86,95,8.097044674935077
pre,0.87,95,8.096957696623049
pre,0.88,95,8.096870744603276
pre,0.89,95,8.096783818748923
pre,0.9,95,8.096696918938095
pre,0.91,95,8.096610045053666
pre,0.92,95,8.096523196983044
pre,0.93,95,8.09643637461799
pre,0.9400000000000001,95,8.09634957785444
pre,0.9500000000000001,95,8.096262806592296
pre,0.96,95,8.096176060735289
pre,0.97,95,8.09608934019079
pre,0.98,95,8.096002644869673
pre,0.99,95,8.095915974686143
pre,1.0,95,8.095829329557612
pre,1.01,95,8.095742709404554
pre,1.02,95,8.095656114150376
pre,1.03,95,8.095569543721277
pre,1.04,95,8.095482998046151
pre,1.05,95,8.095396477056466
pre,1.06,95,8.095309980686132
pre,1.07,95,8.095223508871426
pre,1.08,95,8.095137061550876
pre,1.09,95,8.095050638665157
pre,1.1,95,8.094964240157012
pre,1.11,95,8.094877865971164
pre,1.12,95,8.094791516054219
pre,1.1300000000000001,95,8.094705190354592
pre,1.1400000000000001,95,8.094618888822433
pre,1.1500000000000001,95,8.094532611409548
pre,1.16,95,8.09444635806933
pre,1.17,95,8.094360128756684
pre,1.18,95,8.094273923427973
pre,1.19,95,8.094187742040958
pre,1.2,95,8.094101584554712
pre,1.21,95,8.094015450929605
pre,1.22,95,8.093929341127208
pre,1.23,95,8.09384325511027
pre,1.24,95,8.093757192842654
pre,1.25,95,8.093671154289295
pre,1.26,95,8.09358513941615
pre,1.27,95,8.093499148190158
pre,1.28,95,8.093413180579196
pre,1.29,95,8.093327236552032
pre,1.3,95,8.093241316078306
pre,1.31,95,8.09315541912847
pre,1.32,95,8.093069545673778
pre,1.33,95,8.09298369568622
pre,1.34,95,8.092897869138525
pre,1.35,95,8.092812066004104
pre,1.36,95,8.092726286257035
pre,1.37,95,8.092640529872021
pre,1.3800000000000001,95,8.092554796824384
pre,1.3900000000000001,95,8.09246908709002
pre,1.4000000000000001,95,8.092383400645378
pre,1.41,95,8.09229773746745
pre,1.42,95,8.092212097533723
pre,1.43,95,8.092126480822193
pre,1.44,95,8.092040887311304
pre,1.45,95,8.091955316979956
pre,1.46,95,8.091869769807476
pre,1.47,95,8.091784245773605
pre,1.48,95,8.091698744858473
pre,1.49,95,8.091613267042588
pre,1.5,95,8.091527812306822
pre,1.51,95,8.09144238063239
pre,1.52,95,8.091356972000835
pre,1.53,95,8.091271586394017
pre,1.54,95,8.091186223794107
pre,1.55,95,8.091100884183557
pre,1.56,95,8.091015567545107
pre,1.57,95,8.090930273861755
pre,1.58,95,8.090845003116755
pre,1.59,95,8.090759755293616
pre,1.6,95,8.090674530376074
pre,1.61,95,8.090589328348088
pre,1.62,95,8.090504149193833
pre,1.6300000000000001,95,8.090418992897702
pre,1.6400000000000001,95,8.09033385944427
pre,1.6500000000000001,95,8.090248748818308
pre,1.6600000000000001,95,8.090163661004771
pre,1.67,95,8.090078595988782
pre,1.68,95,8.08999355375564
pre,1.69,95,8.089908534290798
pre,1.7,95,8.08982353757986
pre,1.71,95,8.089738563608588
pre,1.72,95,8.08965361236287
pre,1.73,95,8.089568683828745
pre,1.74,95,8.089483777992365
pre,1.75,95,8.089398894840022
pre,1.76,95,8.08931403435812
pre,1.77,95,8.089229196533177
pre,1.78,95,8.08914438135182
pre,1.79,95,8.08905958880079
pre,1.8,95,8.088974818866916
pre,1.81,95,8.088890071537138
pre,1.82,95,8.088805346798473
pre,1.83,95,8.088720644638045
pre,1.84,95,8.088635965043048
pre,1.85,95,8.08855130800077
pre,1.86,95,8.08846667349858
pre,1.87,95,8.088382061523905
pre,1.8800000000000001,95,8.088297472064264
pre,1.8900000000000001,95,8.088212905107236
pre,1.9000000000000001,95,8.088128360640475
pre,1.9100000000000001,95,8.088043838651695
pre,1.92,95,8.087959339128671
pre,1.93,95,8.08787486205924
pre,1.94,95,8.0877904074313
pre,1.95,95,8.087705975232799
pre,1.96,95,8.087621565451736
pre,1.97,95,8.087537178076174
pre,1.98,95,8.08745281309421
pre,1.99,95,8.087368470493995
pre,2.0,95,8.08728415026373
pre,2.0100000000000002,95,8.087199852391658
pre,2.02,95,8.087115576866056
pre,2.0300000000000002,95,8.087031323675255
pre,2.04,95,8.086947092807613
pre,2.05,95,8.086862884251538
pre,2.06,95,8.086778697995461
pre,2.07,95,8.086694534027863
pre,2.08,95,8.086610392337247
pre,2.09,95,8.086526272912156
pre,2.1,95,8.086442175741162
pre,2.11,95,8.086358100812866
pre,2.12,95,8.086274048115904
pre,2.13,95,8.086190017638936
pre,2.14,95,8.08610600937065
pre,2.15,95,8.08602202329976
pre,2.16,95,8.085938059415012
pre,2.17,95,8.085854117705166
pre,2.18,95,8.08577019815902
pre,2.19,95,8.085686300765381
pre,2.2,95,8.08560242551309
pre,2.21,95,8.085518572391004
pre,2.22,95,8.085434741388003
pre,2.23,95,8.085350932492988
pre,2.24,95,8.08526714569488
pre,2.25,95,8.085183380982619
pre,2.2600000000000002,95,8.085099638345163
pre,2.27,95,8.085015917771491
pre,2.2800000000000002,95,8.084932219250595
pre,2.29,95,8.08484854277149
pre,2.3000000000000003,95,8.084764888323205
pre,2.31,95,8.084681255894786
pre,2.32,95,8.084597645475295
pre,2.33,95,8.084514057053806
pre,2.34,95,8.084430490619415
pre,2.35,95,8.084346946161226
pre,2.36,95,8.084263423668359
pre,2.37,95,8.084179923129962
pre,2.38,95,8.084096444535168
pre,2.39,95,8.084012987873148
pre,2.4,95,8.083929553133078
pre,2.41,95,8.083846140304143
pre,2.42,95,8.083762749375548
pre,2.43,95,8.083679380336502
pre,2.44,95,8.08359603317623
pre,2.45,95,8.083512707883969
pre,2.46,95,8.083429404448973
