alpha,cal_rmse_all,cal_rmse_dtr_ge15,balanced_score
0.315,2.430940108760574,5.653507937497634,0.9911926382316365
0.32,2.43082138227118,5.652269132156519,0.9910603103228579
0.325,2.4307028843622063,5.651032500797549,0.9909282187834018
0.33,2.430584615067085,5.64979804484825,0.9907963637445605
0.335,2.4304665744191896,5.648565765734888,0.9906647453375047
0.34,2.4303487624518363,5.647335664882451,0.9905333636932819
0.345,2.4302311791982825,5.646107743714658,0.9904022189428168
0.35,2.430113824691728,5.644882003653933,0.9902713112169094
0.355,2.429996698965314,5.643658446121416,0.9901406406462356
0.36,2.429879802052124,5.642437072536943,0.9900102073613466
0.365,2.4297631339851824,5.6412178843190475,0.9898800114926669
0.37,2.429646694797456,5.640000882884948,0.9897500531704952
0.375,2.429530484521853,5.638786069650545,0.9896203325250033
0.38,2.4294145031912233,5.637573446030413,0.9894908496862347
0.385,2.429298750838359,5.636363013437792,0.9893616047841057
0.39,2.429183227495991,5.6351547732845795,0.9892325979484029
0.395,2.4290679331967953,5.6339487269813295,0.9891038293087837
0.4,2.4289528679733876,5.63274487593724,0.9889752989947758
0.405,2.4288380318583243,5.631543221560148,0.9888470071357758
0.41,2.428723424884104,5.630343765256522,0.988718953861049
0.415,2.428609047083167,5.6291465084314565,0.9885911392997293
0.42,2.428494898487893,5.627951452488663,0.9884635635808174
0.425,2.428380979130606,5.626758598830465,0.9883362268331817
0.43,2.4282672890435677,5.625567948857789,0.9882091291855557
0.435,2.428153828258983,5.624379503970158,0.9880822707665395
0.44,2.428040596808998,5.623193265565688,0.9879556517045981
0.445,2.4279275947256984,5.622009235041075,0.9878292721280604
0.45,2.427814822041112,5.620827413791593,0.9877031321651196
0.455,2.4277022787872076,5.619647803211086,0.9875772319438318
0.46,2.427589964995893,5.618470404691956,0.9874515715921155
0.465,2.4274778806990205,5.617295219625165,0.9873261512377517
0.47,2.427366025928379,5.61612224940022,0.987200971008382
0.475,2.427254400715701,5.6149514954051725,0.987076031031509
0.48,2.4271430050926592,5.613782959026604,0.9869513314344958
0.485,2.427031839090866,5.612616641649628,0.986826872344564
0.49,2.4269209027418754,5.6114525446578725,0.986702653888795
0.495,2.4268101960771817,5.610290669433484,0.9865786761941278
0.5,2.4266997191282194,5.609131017357113,0.9864549393873594
0.505,2.426589471926364,5.607973589807907,0.9863314435951431
0.51,2.426479454502931,5.60681838816351,0.9862081889439894
0.515,2.426369666889177,5.605665413800049,0.9860851755602642
0.52,2.4262601091162974,5.6045146680921265,0.9859624035701882
0.525,2.4261507812154304,5.60336615241282,0.9858398730998367
0.53,2.426041683217652,5.602219868133671,0.9857175842751391
0.535,2.42593281515398,5.6010758166246735,0.9855955372218781
0.54,2.4258241770553717,5.599933999254276,0.9854737320656886
0.545,2.425715768952725,5.598794417389368,0.9853521689320579
0.55,2.4256075908768775,5.597657072395275,0.9852308479463245
0.555,2.4254996428586066,5.596521965635752,0.9851097692336774
0.56,2.425391924928631,5.595389098472975,0.9849889329191562
0.565,2.4252844371176074,5.5942584722675335,0.9848683391276498
0.57,2.4251771794561345,5.593130088378428,0.984747987983896
0.575,2.42507015197475,5.592003948163056,0.9846278796124805
0.58,2.4249633547039307,5.5908800529772105,0.9845080141378375
0.585,2.4248567876740936,5.589758404175071,0.984388391684247
0.59,2.4247504509155973,5.588639003109195,0.9842690123758364
0.595,2.424644344458737,5.587521851130515,0.9841498763365786
0.6,2.42453846833375,5.586406949588325,0.9840309836902912
0.605,2.4244328225708123,5.58529429983028,0.9839123345606369
0.61,2.424327407200039,5.584183903202386,0.983793929071122
0.615,2.4242222222514864,5.583075761048991,0.9836757673450958
0.62,2.424117267755148,5.581969874712783,0.9835578495057506
0.625,2.4240125437409596,5.580866245534776,0.9834401756761209
0.63,2.423908050238794,5.579764874854312,0.9833227459790821
0.635,2.4238037872784637,5.578665764009043,0.9832055605373504
0.64,2.4236997548897223,5.577568914334933,0.9830886194734825
0.645,2.4235959531022604,5.576474327166249,0.9829719229098741
0.65,2.42349238194571,5.575382003835548,0.9828554709687605
0.655,2.423389041449641,5.574291945673679,0.9827392637722144
0.66,2.423285931643562,5.573204154009767,0.9826233014421468
0.665,2.4231830525569227,5.5721186301712144,0.9825075841003053
0.67,2.4230804042191103,5.571035375483687,0.9823921118682741
0.675,2.422977986659451,5.569954391271111,0.9822768848674728
0.68,2.4228757999072115,5.568875678855663,0.9821619032191569
0.685,2.4227738439915956,5.567799239557766,0.9820471670444153
0.69,2.422672118941747,5.5667250746960795,0.9819326764641716
0.695,2.422570624786749,5.565653185587496,0.9818184315991825
0.7,2.4224693615556223,5.564583573547129,0.9817044325700368
0.705,2.4223683292773277,5.563516239888309,0.9815906794971563
0.71,2.4222675279807633,5.562451185922578,0.9814771725007929
0.715,2.4221669576947678,5.561388412959679,0.9813639117010305
0.72,2.4220666184481168,5.560327922307549,0.981250897217782
0.725,2.4219665102695256,5.559269715272313,0.9811381291707905
0.73,2.4218666331876486,5.55821379315828,0.9810256076796277
0.735,2.4217669872310768,5.557160157267931,0.9809133328636934
0.74,2.4216675724283423,5.556108808901914,0.9808013048422155
0.745,2.421568388807913,5.555059749359036,0.9806895237342482
0.75,2.421469436398198,5.5540129799362585,0.9805779896586726
0.755,2.4213707152275425,5.552968501928687,0.9804667027341952
0.76,2.421272225324232,5.551926316629566,0.9803556630793478
