replicate,beta,year_blocks,n_anchor_observations
192,1.0291515385095376,17,2562
193,1.125505911485325,17,2565
194,1.0012101027452216,17,2566
195,1.0957543719618636,17,2563
196,1.1871667432269142,17,2589
197,1.1447804972706122,17,2574
198,1.0317156691060567,17,2583
199,1.0809281924680798,17,2565
200,1.1806160538141417,17,2569
201,1.0804947564961525,17,2546
202,1.1616280159517556,17,2552
203,1.1372781511335572,17,2545
204,1.1046703253117254,17,2583
205,1.0430076167711357,17,2558
206,1.083997997968718,17,2553
207,1.1556262453681074,17,2567
208,1.0843213169020727,17,2572
209,1.0489345199106768,17,2574
210,1.1859688789939073,17,2562
211,1.0773264174277388,17,2569
212,1.139747101085303,17,2587
213,1.0941913689317067,17,2556
214,1.0709253078169907,17,2565
215,1.012112800890366,17,2572
216,1.1455108398128955,17,2563
217,1.033724763413866,17,2560
218,1.1798576621349304,17,2575
219,1.031538336566969,17,2557
220,1.1442771026064587,17,2557
221,1.1194689226582857,17,2565
222,1.071699942675811,17,2562
223,1.0826475643278803,17,2529
224,1.1766747478748665,17,2560
225,1.0717926506583253,17,2546
226,0.9997305269108241,17,2552
227,1.1799155071262177,17,2570
228,1.1157494001122032,17,2553
229,1.0156755959845927,17,2578
230,1.245498612893484,17,2575
231,1.0572408249293848,17,2577
232,1.113364183192155,17,2561
233,1.089500490661325,17,2555
234,1.0671190106761992,17,2571
235,1.0386567550575825,17,2574
236,1.0576412892821352,17,2554
237,0.9925222393836116,17,2566
238,1.1472278446299524,17,2561
239,1.049726014936384,17,2521
240,1.1741208994307726,17,2582
241,1.0420734316387947,17,2550
242,1.069940056387509,17,2568
243,1.083765551760223,17,2575
244,1.0409716426815943,17,2542
245,1.132819323627439,17,2563
246,1.0488874518068831,17,2573
247,1.1383089803654538,17,2555
248,1.048874038555881,17,2534
249,1.1493642137895317,17,2559
250,1.0335817615857852,17,2550
251,1.1695241332849153,17,2579
252,1.052095666254511,17,2550
253,1.0869953629084173,17,2572
254,1.1842992888536725,17,2557
255,1.019714766253228,17,2566
256,1.0726359688577323,17,2548
257,1.0502309872912636,17,2564
258,1.1947795103421817,17,2583
259,1.1011809853227896,17,2567
260,1.0433803725825428,17,2559
261,1.0191152911136212,17,2562
262,1.0687753872213206,17,2564
263,0.9903207828697841,17,2574
264,1.2333983653530667,17,2579
265,1.0593652759016532,17,2542
266,1.1499770623403973,17,2567
267,1.0502867662425148,17,2585
268,1.0725177505938481,17,2560
269,1.1095190548984788,17,2582
270,1.0839773499909517,17,2560
271,1.0739241733748324,17,2556
272,1.0506105405256239,17,2560
273,1.0539903293963715,17,2571
274,1.1252772523005805,17,2574
275,1.3046353589983912,17,2553
276,1.2217306171335078,17,2578
277,1.1677121664076258,17,2590
278,1.196593337130961,17,2560
279,1.0630379101039735,17,2534
280,1.1880376952414475,17,2568
281,1.0478546510062101,17,2558
282,1.0123831921773023,17,2567
283,1.242580175884337,17,2569
284,1.0326956381184857,17,2552
285,1.1742623128113645,17,2556
286,1.0842107923258164,17,2550
287,0.9368083858373343,17,2563
288,1.0119878774258662,17,2558
289,1.0862509954408763,17,2566
290,1.204962856023976,17,2575
291,1.0967454022255771,17,2578
292,1.1034198988308819,17,2567
293,1.0453049043858889,17,2558
294,0.9813807380134916,17,2574
295,1.12328778142357,17,2544
296,1.1847124822600843,17,2550
297,1.0905422274904841,17,2556
298,1.0867362854469416,17,2549
299,1.1113387815593234,17,2564
300,1.1063505422561601,17,2578
301,1.1406599726776288,17,2566
302,0.944602566275961,17,2572
303,1.097564628723733,17,2574
304,1.2166721151588133,17,2574
305,1.2420360332746214,17,2571
306,1.0763745208154312,17,2548
307,0.9873361834898474,17,2560
308,1.0695287157029687,17,2568
309,1.0614191548718486,17,2581
310,1.0835425281181694,17,2567
311,1.1030304435344074,17,2546
312,1.053276377145633,17,2588
313,1.0496251330443538,17,2561
314,1.0088222616183191,17,2552
315,1.140215532485311,17,2575
316,1.170992104668538,17,2582
317,1.0458447953509062,17,2558
318,1.2181725239446928,17,2584
319,1.1863658268394675,17,2558
320,1.1070384809759906,17,2569
321,1.076407227973793,17,2564
322,1.0249879034456648,17,2524
323,1.217297964596113,17,2571
324,1.0157258748973863,17,2559
325,1.0345772903245143,17,2569
326,1.148672956822655,17,2580
327,1.145186924025963,17,2572
328,0.9673219536725849,17,2564
329,1.0771063661548967,17,2554
330,1.0972946332058857,17,2582
331,1.2448828587455658,17,2579
332,1.0490330929594467,17,2577
333,1.1486382840875966,17,2564
334,1.195798893128579,17,2564
335,1.1932286822021263,17,2579
336,1.1199902753300517,17,2568
337,1.1236272841063861,17,2578
338,1.1565518485903428,17,2568
339,0.9851656745930584,17,2576
340,1.1626948884488733,17,2565
341,1.0964682890129631,17,2559
342,1.1006679184199348,17,2560
343,1.063269138443506,17,2556
344,1.037851094192006,17,2558
345,1.160580535961026,17,2564
346,1.094296819058834,17,2557
347,1.0208500118801918,17,2582
348,1.0582575124868514,17,2569
349,0.9864739211371739,17,2563
350,1.1023957882457385,17,2555
351,1.1109660789606683,17,2562
352,1.0841744968912936,17,2566
353,1.07167338204912,17,2563
354,1.029776260486576,17,2557
355,1.076088957680105,17,2561
356,1.1529504100255383,17,2560
357,1.107790451222741,17,2573
358,1.0946819948563324,17,2583
359,1.087064108287795,17,2565
360,1.0529303192456734,17,2559
361,1.187383500022213,17,2570
362,1.127023985642862,17,2578
363,1.035771855282293,17,2569
364,1.1283075375783955,17,2540
365,1.1476996202717709,17,2577
366,1.034755305187061,17,2541
367,1.0362698953759808,17,2566
368,1.1330607479967074,17,2576
369,1.137802364692966,17,2562
370,1.0846339284671382,17,2571
371,1.0112001036333795,17,2561
372,1.1417950254465834,17,2585
373,0.9974659005733085,17,2576
374,1.0456149109745667,17,2575
375,1.137415869134217,17,2547
376,1.1248943112501115,17,2546
377,1.0490984345423964,17,2554
378,1.102530265116203,17,2569
379,1.0568755047324443,17,2544
380,1.0338500555969725,17,2580
381,1.1258198271133495,17,2568
382,1.0778297184150478,17,2556
383,1.1217281563220214,17,2556
384,1.1102265104378088,17,2570
385,1.1158431184809405,17,2566
386,1.1345126935134728,17,2554
387,1.1661336430654494,17,2588
388,1.0316410988186584,17,2552
389,1.1057907877870063,17,2577
390,1.0751664375813839,17,2583
391,1.0287455875418052,17,2575
392,1.1788501515912293,17,2588
393,0.9985716583056966,17,2564
394,1.0623169091783986,17,2563
395,1.0035407577618394,17,2548
396,1.136487043713029,17,2578
397,1.0351622535792124,17,2560
398,1.2053757040520383,17,2569
399,1.0235442844112235,17,2549
400,1.0795567311925265,17,2553
