case_id,test_index,mean_nse,01605500_nse,01605500_kge,01605500_rmse,01606000_nse,01606000_kge,01606000_rmse,01606500_nse,01606500_kge,01606500_rmse
closure_13,8,0.9101385884472469,0.9229414988366278,0.9260975872095077,1.0000393835801598,0.8942867031731758,0.9185565284666279,2.3418821798156633,0.9131875633319373,0.9250213656076549,3.083460618134469
closure_14,713,0.9589703012649954,0.9596553013855705,0.8586832867575414,0.8444898348808755,0.9586807079901073,0.8716010794347955,1.699700632377274,0.9585748944193082,0.8607039626308978,2.5033428273679945
closure_15,3746,0.8442859326888824,0.8656098729729077,0.9298177802824308,1.1385927684396262,0.8210749474763411,0.8948461644482273,2.6140336031591005,0.8461729776173986,0.912774071178577,3.5252172898550493
closure_16,2717,0.9590582538820707,0.9554540553202274,0.972901531863013,0.6657954665485054,0.9587939252838754,0.9741059860586374,1.3171879258570145,0.9629267810421089,0.9739956291000781,1.7851489559135865
closure_17,3342,0.6105814285438732,0.6239206676745794,0.7602142976384806,4.152003545474137,0.5637679498999029,0.7623397260315088,8.304522674026217,0.6440556680571374,0.812479175854379,11.223128674004617
closure_18,3057,0.9710827173071249,0.9736894794117419,0.929933897208579,0.5811331485596257,0.9670638900436306,0.9496566622564181,1.3047015411143654,0.9724947824660023,0.9339080907058602,1.7458344862079587
closure_19,4423,0.9246463557866472,0.9147587678005595,0.8127210297460336,0.7625389171533353,0.9334822638042709,0.8655008159278352,1.4703700897302643,0.925698035755111,0.8446619110452419,2.1811868123758953
closure_20,2735,0.826055688629297,0.8742222892749827,0.7907314764183828,0.9013102377713039,0.7687164129845351,0.7353886917902324,2.5108296576342677,0.8352283636283734,0.7724759209721979,3.0473914402787092
closure_21,1677,0.6825911042385462,0.6778039495477841,0.6521447208741757,3.241339242330737,0.6829634456580531,0.6807342212724883,6.073903556750383,0.6870059175098012,0.6690132873965491,9.083477368442404
closure_22,1732,0.5637378395167024,0.5354610864564608,0.5777535898998568,4.309682446191627,0.5824798343780196,0.6359290867047955,7.635802429133638,0.5732725977156267,0.6178221550866672,11.44001266638341
closure_23,1229,0.9307168291885386,0.9316032864638776,0.82141512604329,1.213024033983216,0.930049292181361,0.8523469690086417,2.354930281280755,0.930497908920377,0.8321219322165835,3.52623749023338
closure_24,4318,0.9672356565869324,0.9691162982235176,0.9278728306192157,0.6253353450706095,0.9609542207946785,0.9144463866673446,1.4677526371547343,0.9716364507426013,0.9278778974338611,1.7714907175449202
closure_25,3378,0.9755220126395684,0.9758714767127628,0.972537133212833,0.5025093050634694,0.9706321704409138,0.9584747309349031,1.179087042911546,0.9800623907650289,0.9739182018304313,1.3654055804183136
