doy,mean_DTR_C,sd_DTR_C,enabled
76,10.739122227465785,2.509783196561176,0
77,10.739122227465785,2.509783196561176,0
78,10.739122227465785,2.509783196561176,0
79,10.739122227465785,2.509783196561176,0
80,10.739122227465785,2.509783196561176,0
81,10.739122227465785,2.509783196561176,0
82,10.739122227465785,2.509783196561176,0
83,10.739122227465785,2.509783196561176,0
84,10.739122227465785,2.509783196561176,0
85,10.739122227465785,2.509783196561176,0
86,10.739122227465785,2.509783196561176,0
87,10.739122227465785,2.509783196561176,0
88,10.739122227465785,2.509783196561176,0
89,10.739122227465785,2.509783196561176,0
90,10.739122227465785,2.509783196561176,0
91,10.739122227465785,2.509783196561176,0
92,10.739122227465785,2.509783196561176,0
93,10.739122227465785,2.509783196561176,0
94,10.739122227465785,2.509783196561176,0
95,10.739122227465785,2.509783196561176,0
96,10.739122227465785,2.509783196561176,0
97,10.739122227465785,2.509783196561176,0
98,10.739122227465785,2.509783196561176,0
99,10.739122227465785,2.509783196561176,0
100,10.739122227465785,2.509783196561176,0
101,10.739122227465785,2.509783196561176,0
102,10.739122227465785,2.509783196561176,0
103,10.739122227465785,2.509783196561176,0
104,10.739122227465785,2.509783196561176,0
105,10.739122227465785,2.509783196561176,0
106,10.739122227465785,2.509783196561176,0
107,10.739122227465785,2.509783196561176,0
108,10.739122227465785,2.509783196561176,0
109,10.739122227465785,2.509783196561176,0
110,10.739122227465785,2.509783196561176,0
111,10.739122227465785,2.509783196561176,0
112,10.739122227465785,2.509783196561176,0
113,10.739122227465785,2.509783196561176,0
114,10.739122227465785,2.509783196561176,0
115,10.739122227465785,2.509783196561176,0
116,10.739122227465785,2.509783196561176,0
117,10.739122227465785,2.509783196561176,0
118,10.739122227465785,2.509783196561176,0
119,10.739122227465785,2.509783196561176,0
120,10.739122227465785,2.509783196561176,0
121,10.599999999999998,2.9122441379943598,1
122,10.699159663865546,2.9202911766942634,1
123,10.791666666666666,2.9954364360191446,1
124,10.816165413533836,2.9997738837564385,1
125,10.825089605734766,2.9670155370300813,1
126,10.77952218430034,2.9744558228595626,1
127,10.816666666666666,2.942601168922534,1
128,10.861875000000001,2.944595429151399,1
129,10.835522388059701,2.943289985521055,1
130,10.857020057306592,2.9341113621041606,1
131,10.850964187327824,2.914512725463848,1
132,10.877777777777776,2.887011677832266,1
133,10.887468030690536,2.8861599869253936,1
134,10.910591133004923,2.86476442404162,1
135,10.954892601431983,2.8568382957819933,1
136,10.9459584295612,2.833895135172928,1
137,10.947018348623853,2.8139170244255975,1
138,10.967201834862385,2.8060939376213416,1
139,10.965057471264368,2.852967116469656,1
140,10.979080459770113,2.8433930338812137,1
141,11.005760368663594,2.811193232094103,1
142,11.024249422632794,2.796465767624591,1
143,10.99400921658986,2.7107792799792354,1
144,11.059447004608295,2.6945528267198764,1
145,11.067741935483872,2.6816235418277725,1
146,11.04896551724138,2.673598101354046,1
147,11.05241379310345,2.6530848775625793,1
148,11.080875576036867,2.6862541496119468,1
149,11.08110599078341,2.689868541274921,1
150,11.047926267281106,2.690279797617731,1
151,11.045747126436781,2.680368824001991,1
152,11.03922018348624,2.67704560730513,1
153,10.98302752293578,2.63491778478458,1
154,10.924311926605506,2.563861264370186,1
155,10.91425287356322,2.531475422770672,1
156,10.933793103448275,2.5471377454747857,1
157,10.958715596330276,2.5096122706134643,1
158,10.929061784897025,2.50940474836723,1
159,10.924942791762014,2.483689049094365,1
160,10.924137931034483,2.4647358743362235,1
161,10.881839080459772,2.476770664263042,1
162,10.874482758620688,2.464002008002302,1
163,10.863824884792626,2.444479121840896,1
164,10.85816091954023,2.411502069688051,1
165,10.847465437788017,2.4141338115364728,1
166,10.800691244239632,2.386543197938715,1
167,10.77626728110599,2.4179494074880488,1
168,10.778521939953809,2.4258209063203062,1
169,10.79838337182448,2.4019228737773233,1
170,10.803917050691243,2.308455859443123,1
171,10.803002309468821,2.2712199451718686,1
172,10.785912240184757,2.293844452422617,1
173,10.780092592592593,2.311290153222048,1
174,10.738425925925926,2.29542171672426,1
175,10.711368909512762,2.266753796267164,1
176,10.699305555555556,2.249624764620356,1
177,10.764120370370371,2.247810930847385,1
178,10.783023255813953,2.2447068377266315,1
179,10.8006993006993,2.1676841674983174,1
180,10.768691588785046,2.2241912812254787,1
181,10.763934426229508,2.2111139408768046,1
182,10.745774647887325,2.20390957130929,1
183,10.75,2.191172127907264,1
184,10.737176470588235,2.224230104114418,1
185,10.741882352941177,2.230552481543301,1
186,10.734741784037558,2.237564759021444,1
187,10.700702576112414,2.2150942864168,1
188,10.688235294117646,2.2216140106757143,1
189,10.67670588235294,2.223342815253609,1
190,10.605188679245284,2.223923536932448,1
191,10.58470588235294,2.2142178802705157,1
192,10.555529411764708,2.211403499681091,1
193,10.512500000000001,2.2339121458054936,1
194,10.480188679245284,2.258136632665621,1
195,10.49882075471698,2.2702877887876034,1
196,10.455188679245284,2.278965685982508,1
197,10.423349056603774,2.3457918886225264,1
198,10.444575471698114,2.3377807279296343,1
199,10.441411764705883,2.3351554193261816,1
200,10.435529411764707,2.3353888942654453,1
201,10.399529411764707,2.3331389829741123,1
202,10.401647058823531,2.3235610514992704,1
203,10.39741176470588,2.3196083522612465,1
204,10.395764705882355,2.2891831247124745,1
205,10.446698113207546,2.313745225332852,1
206,10.44127358490566,2.321860198368178,1
207,10.440425531914892,2.3319431940336064,1
208,10.440521327014219,2.366018878469336,1
209,10.472340425531915,2.459918689645091,1
210,10.419103773584908,2.449767325968024,1
211,10.455294117647059,2.3948700028902654,1
212,10.473176470588236,2.387661982929761,1
213,10.467370892018778,2.39988061242224,1
214,10.45281690140845,2.410770743104327,1
215,10.433255269320844,2.4355387981926118,1
216,10.438262910798121,2.4198912540243427,1
217,10.449765258215963,2.418986164163346,1
218,10.476056338028169,2.402800216731395,1
219,10.529976580796255,2.411404972855498,1
220,10.597423887587823,2.4245067095568658,1
221,10.679439252336449,2.4407254389693707,1
222,10.744158878504672,2.465839396201646,1
223,10.782943925233646,2.446622434383105,1
224,10.825934579439252,2.4263300638718346,1
225,10.822429906542055,2.4405746016412007,1
226,10.799532710280376,2.4755667420770306,1
227,10.84871194379391,2.451054574017083,1
228,10.87126168224299,2.3788965416171437,1
229,10.881308411214953,2.3685045367753337,1
230,10.883177570093459,2.3921607326300087,1
231,10.881498829039812,2.3909276102466883,1
232,10.898122065727698,2.3807949723483155,1
233,10.905868544600938,2.409635231676704,1
234,10.960093896713616,2.413823716085981,1
235,11.01035294117647,2.473116992412127,1
236,11.011267605633801,2.450798628775314,1
237,11.003512880562061,2.4734480744865293,1
238,10.991100702576114,2.470666492480366,1
239,10.971896955503514,2.452345223931192,1
240,10.956103286384977,2.3758238850630815,1
241,11.00868544600939,2.3865790746686995,1
242,11.004225352112675,2.407416186002401,1
243,11.015727699530519,2.4248636708377194,1
