model,year,n,RMSE_C,MAE_C,Bias_C
M15_13P5,2004,1203,2.5062546181745855,1.5222831932325025,0.4843459582998264
M15_13P5,2005,1219,2.40448420032049,1.4699781833945123,0.4753088284782432
M15_13P5,2006,1221,2.4593007138022016,1.5190639077253933,0.41897767334250496
M15_13P5,2007,1216,2.796368166822074,1.6372482162712612,0.5623481599640823
M15_13P5,2008,1220,2.3069267383032073,1.3716344785966832,0.4432660798114398
M15_13P5,2009,1220,2.5547257273218213,1.529141979847532,0.49548767845971975
M15_13P5,2010,1221,2.357187823939991,1.4544243071600473,0.5642124535128357
M15_13P5,2011,1223,2.13882118856099,1.331923996400569,0.3992987530644622
M15_13P5,2012,1223,2.068949924770109,1.30785456713591,0.4088521433127895
M15_13P5,2013,40,1.845762472057639,1.2033158377768693,-0.3935423825657899
M15_13P5,2014,820,1.6394738116858893,1.027774570416248,-0.2596189677351222
M15_13P5,2015,176,1.7291255109022847,1.2238381895207706,-0.4381161417364973
M15_13P5,2018,70,1.0546543960625483,0.8256008240939918,-0.1831637042665809
M15_13P5,2020,1205,2.806807113855564,1.8382865542676,0.13560707122648713
M15_13P5,2021,1214,2.9305406863532344,1.917268345447933,0.2284842518043552
M15_13P5,2022,1180,2.5807426113288208,1.729229024720817,0.10681629007199296
M15_13P5,2023,1069,2.850847104388603,1.8963542323620384,0.05726349820157662
M15_13P5,2024,1179,2.871295640579686,1.8851358326224852,0.09313767781855192
M15_13P8,2000,1204,2.5070941399407287,1.5242325440898532,0.28177429991775704
M15_13P8,2001,1206,2.65044646061851,1.6352196607156357,0.433520507939555
M15_13P8,2002,1188,2.3696639206958876,1.5016912202687387,0.40500218880903444
M15_13P8,2003,1203,2.313240173793429,1.482960597159726,0.38296459157845275
M15_13P8,2004,1203,2.5095876622048814,1.522496266512836,0.4930495245240023
M15_13P8,2005,1219,2.4134169412767186,1.472274531162851,0.48496086554301715
M15_13P8,2006,1221,2.46123906770786,1.5200154299196638,0.42520106326040363
M15_13P8,2007,1216,2.797481672516495,1.6366526990497554,0.5699941513554428
M15_13P8,2008,1220,2.308928999670465,1.372553769521417,0.44872325067641106
M15_13P8,2009,1220,2.557921202897691,1.5301087372044608,0.5032756513897527
M15_13P8,2010,1221,2.3616220534522268,1.4551984224314212,0.5699260259862718
M15_13P8,2011,1223,2.137975336529591,1.3312614038528656,0.40153438736128805
M15_13P8,2012,1223,2.0720232022209077,1.309244067285743,0.4149079767161595
M15_13P8,2013,40,1.845762472057639,1.2033158377768693,-0.3935423825657899
M15_13P8,2014,820,1.639653989708336,1.0260794267532538,-0.2524998777610783
M15_13P8,2015,176,1.7291255109022847,1.2238381895207706,-0.4381161417364973
M15_13P8,2018,70,1.0546543960625483,0.8256008240939918,-0.1831637042665809
M15_13P8,2020,1205,2.8093895951054266,1.8377791116462312,0.1505570201996536
M15_13P8,2021,1214,2.941364971205415,1.9211695016103159,0.2509304698322167
M15_13P8,2022,1180,2.5875182074902887,1.730628396968335,0.12259742871709851
M15_13P8,2023,1069,2.8555924298309723,1.8971747289589966,0.07689551008873924
M15_13P8,2024,1179,2.872989394763126,1.8844870460528076,0.10727199098864497
REG_POOLED_Q0,2000,1204,2.528367248411326,1.5565470299596382,0.19119664843749165
REG_POOLED_Q0,2001,1206,2.614902135123917,1.6330425017771362,0.28796935012668035
REG_POOLED_Q0,2002,1188,2.349499117523242,1.509856559373639,0.3142367984002845
REG_POOLED_Q0,2003,1203,2.293420174942157,1.4840850013677114,0.33369141850918815
REG_POOLED_Q0,2004,1203,2.459792822452007,1.519006606070015,0.3929209406500577
REG_POOLED_Q0,2005,1219,2.351066631630607,1.4503952622963125,0.36179331089434363
REG_POOLED_Q0,2006,1221,2.4581206641708326,1.5205812035140691,0.3484560208049011
REG_POOLED_Q0,2007,1216,2.770163553018188,1.6352456984112589,0.47574801333024447
REG_POOLED_Q0,2008,1220,2.2709107218140008,1.366601298884892,0.3522771064171729
REG_POOLED_Q0,2009,1220,2.4898737923371637,1.519086916594657,0.37234792893977425
REG_POOLED_Q0,2010,1221,2.3470586922645094,1.4586115184675703,0.48518119462641124
REG_POOLED_Q0,2011,1223,2.123917725651443,1.3315774925008819,0.33414146022794217
REG_POOLED_Q0,2012,1223,2.0553268425668554,1.3135304787264237,0.3338878153545541
REG_POOLED_Q0,2013,40,1.8742872155092722,1.2184161228721428,-0.4439624992651078
REG_POOLED_Q0,2014,820,1.681494208231654,1.0627069467287265,-0.36388341550194825
REG_POOLED_Q0,2015,176,1.768513175133172,1.2534674325031678,-0.5032268608652672
REG_POOLED_Q0,2018,70,1.0684364353286246,0.8365475261831299,-0.20914666439768034
REG_POOLED_Q0,2020,1205,2.780010554855609,1.840202797610321,-0.005893180984034541
REG_POOLED_Q0,2021,1214,2.876939313665589,1.9052927196192966,0.04628096674973858
REG_POOLED_Q0,2022,1180,2.54886842836897,1.7213776507457161,-0.047463043303389636
REG_POOLED_Q0,2023,1069,2.8363937234092895,1.899034464017954,-0.09360753549691188
REG_POOLED_Q0,2024,1179,2.8609275516050254,1.8899046383225946,-0.03235270719335547
REG_POOLED_Q0.5,2000,1204,2.524585900175289,1.5470938845773314,0.22496850873427732
REG_POOLED_Q0.5,2001,1206,2.6322169892016745,1.633087441775576,0.3550831429423599
REG_POOLED_Q0.5,2002,1188,2.364304398055719,1.5037101700906246,0.3597402862251076
REG_POOLED_Q0.5,2003,1203,2.3003122034246872,1.4803337544227662,0.36470664312074585
REG_POOLED_Q0.5,2004,1203,2.485259783887524,1.5246083381081352,0.43288555798584927
REG_POOLED_Q0.5,2005,1219,2.3693317925088357,1.4587212693528335,0.4095918179690879
REG_POOLED_Q0.5,2006,1221,2.4581289340833106,1.5189382597050736,0.38674815257451944
REG_POOLED_Q0.5,2007,1216,2.784341492800488,1.6402108731958096,0.5159841536799187
REG_POOLED_Q0.5,2008,1220,2.285250642628879,1.369131901058569,0.3886285709285487
REG_POOLED_Q0.5,2009,1220,2.5087812234859053,1.5202773140581631,0.42110077016743264
REG_POOLED_Q0.5,2010,1221,2.3455623922937896,1.455149655411924,0.5180808063931877
REG_POOLED_Q0.5,2011,1223,2.137746635809402,1.3316686517975338,0.37082532701277066
REG_POOLED_Q0.5,2012,1223,2.0653006206513282,1.3110824941995756,0.36560402528970554
REG_POOLED_Q0.5,2013,40,1.8465587909450751,1.203633073362949,-0.4009857528364176
REG_POOLED_Q0.5,2014,820,1.6652197648347182,1.0502960003011068,-0.32295730267967204
REG_POOLED_Q0.5,2015,176,1.7355003430546863,1.2275216764645869,-0.44828791809467217
REG_POOLED_Q0.5,2018,70,1.0608696504820625,0.8298186572023344,-0.19193647972058114
REG_POOLED_Q0.5,2020,1205,2.784769409965884,1.836406622087152,0.04991636037538437
REG_POOLED_Q0.5,2021,1214,2.8938392504006125,1.9097039967373506,0.09926407856325822
REG_POOLED_Q0.5,2022,1180,2.569337151035722,1.7295113869058167,0.028118950196379566
REG_POOLED_Q0.5,2023,1069,2.848103528425556,1.9032926273455901,-0.03421425214448943
REG_POOLED_Q0.5,2024,1179,2.86751552649454,1.886853702347944,0.022078168338807033
REG_POOLED_Q1,2000,1204,2.509573640832312,1.527554349844779,0.2682186939595887
REG_POOLED_Q1,2001,1206,2.647059373549272,1.632207496207498,0.4187375815681795
REG_POOLED_Q1,2002,1188,2.3677839976069253,1.500452942608997,0.3981274690010858
REG_POOLED_Q1,2003,1203,2.3069941406072667,1.4802720800325224,0.3801955997257037
REG_POOLED_Q1,2004,1203,2.504036479867814,1.5231566681812834,0.4752936571320125
REG_POOLED_Q1,2005,1219,2.3962681182339027,1.4687724731155418,0.46199774296486895
REG_POOLED_Q1,2006,1221,2.4572249641816013,1.5150530445739236,0.41993646672819684
REG_POOLED_Q1,2007,1216,2.8006356493153026,1.6404770320037751,0.5586956717279612
REG_POOLED_Q1,2008,1220,2.306742583022733,1.3725574758104204,0.4352419212333071
REG_POOLED_Q1,2009,1220,2.547685404187055,1.5275290707934932,0.4838364944111062
REG_POOLED_Q1,2010,1221,2.3571386953651716,1.4563336325884502,0.5541899758147282
REG_POOLED_Q1,2011,1223,2.140739271090704,1.3317693654078475,0.3977112562324553
REG_POOLED_Q1,2012,1223,2.066394400996697,1.307084175835032,0.4004388991347405
REG_POOLED_Q1,2013,40,1.845762472057639,1.2033158377768693,-0.3935423825657899
REG_POOLED_Q1,2014,820,1.6451630326582865,1.032563468859637,-0.27399843635545923
REG_POOLED_Q1,2015,176,1.7291255109022847,1.2238381895207706,-0.4381161417364973
REG_POOLED_Q1,2018,70,1.0546543960625483,0.8256008240939918,-0.1831637042665809
REG_POOLED_Q1,2020,1205,2.8021829270782335,1.83626139514691,0.12700612712872683
REG_POOLED_Q1,2021,1214,2.9318314720811123,1.9192389488940262,0.21056038568869986
REG_POOLED_Q1,2022,1180,2.5770096690315665,1.729446832080216,0.09700957755474006
REG_POOLED_Q1,2023,1069,2.854613788606243,1.8964747804563125,0.05231425924205255
REG_POOLED_Q1,2024,1179,2.8733652552746847,1.8819818555802958,0.08909775032046557
REG_SEASONAL_Q0,2000,1204,2.5261609482620866,1.554443558042704,0.1933775051681862
REG_SEASONAL_Q0,2001,1206,2.6127019655106465,1.633103101274325,0.2812248429110261
REG_SEASONAL_Q0,2002,1188,2.3503439766178027,1.5116361876920013,0.3108231442978858
REG_SEASONAL_Q0,2003,1203,2.2887006477511904,1.4812440548406052,0.3332741848243988
REG_SEASONAL_Q0,2004,1203,2.462882258335366,1.519891474777625,0.39024869316143
