scenario,arm,KRT,year,treatment,observed_kg_ha,simulated_kg_ha,error_kg_ha,ADAT,MDAT,CWAM,ETCP,IRCM,SRADA
RAW_N_OFF,REG_HR_K0.5,0.5,2020,W1,9275,17380.0,8105.0,2020181,2020232,28183,501.1,439,24.2
RAW_N_OFF,REG_HR_K0.5,0.5,2020,W2,11100,17381.0,6281.0,2020181,2020232,28235,500.8,472,24.2
RAW_N_OFF,REG_HR_K0.5,0.5,2020,W3,12030,17381.0,5351.0,2020181,2020232,28236,500.8,506,24.2
RAW_N_OFF,REG_HR_K0.5,0.5,2020,W4,11595,17381.0,5786.0,2020181,2020232,28237,500.8,540,24.2
RAW_N_OFF,M15_HR_K0.75,0.75,2019,W1,9250,11956.0,2706.0,2019183,2019230,22225,514.7,439,23.3
RAW_N_OFF,M15_HR_K0.75,0.75,2019,W2,10725,11963.0,1238.0,2019183,2019230,22323,514.8,472,23.3
RAW_N_OFF,M15_HR_K0.75,0.75,2019,W3,12490,11963.0,-527.0,2019183,2019230,22323,514.8,506,23.3
RAW_N_OFF,M15_HR_K0.75,0.75,2019,W4,12030,11963.0,-67.0,2019183,2019230,22323,514.8,540,23.3
RAW_N_OFF,M15_HR_K0.75,0.75,2020,W1,9275,17282.0,8007.0,2020181,2020232,28004,500.9,439,24.2
RAW_N_OFF,M15_HR_K0.75,0.75,2020,W2,11100,17283.0,6183.0,2020181,2020232,28055,500.6,472,24.2
RAW_N_OFF,M15_HR_K0.75,0.75,2020,W3,12030,17283.0,5253.0,2020181,2020232,28055,500.7,506,24.2
RAW_N_OFF,M15_HR_K0.75,0.75,2020,W4,11595,17284.0,5689.0,2020181,2020232,28057,500.7,540,24.2
RAW_N_OFF,REG_HR_K0.75,0.75,2019,W1,9250,11944.0,2694.0,2019183,2019229,22206,512.6,439,23.4
RAW_N_OFF,REG_HR_K0.75,0.75,2019,W2,10725,11952.0,1227.0,2019183,2019229,22303,512.7,472,23.4
RAW_N_OFF,REG_HR_K0.75,0.75,2019,W3,12490,11952.0,-538.0,2019183,2019229,22303,512.7,506,23.4
RAW_N_OFF,REG_HR_K0.75,0.75,2019,W4,12030,11952.0,-78.0,2019183,2019229,22303,512.7,540,23.4
RAW_N_OFF,REG_HR_K0.75,0.75,2020,W1,9275,17274.0,7999.0,2020181,2020232,28020,501.2,439,24.2
RAW_N_OFF,REG_HR_K0.75,0.75,2020,W2,11100,17274.0,6174.0,2020181,2020232,28073,500.8,472,24.2
RAW_N_OFF,REG_HR_K0.75,0.75,2020,W3,12030,17275.0,5245.0,2020181,2020232,28074,500.8,506,24.2
RAW_N_OFF,REG_HR_K0.75,0.75,2020,W4,11595,17275.0,5680.0,2020181,2020232,28077,500.9,540,24.2
SRAD19P8_N_OFF,M0,0.0,2019,W1,9250,10784.0,1534.0,2019183,2019229,19827,441.7,439,19.9
SRAD19P8_N_OFF,M0,0.0,2019,W2,10725,10784.0,59.0,2019183,2019229,19827,441.7,472,19.9
SRAD19P8_N_OFF,M0,0.0,2019,W3,12490,10784.0,-1706.0,2019183,2019229,19827,441.7,506,19.9
SRAD19P8_N_OFF,M0,0.0,2019,W4,12030,10784.0,-1246.0,2019183,2019229,19827,441.7,540,19.9
SRAD19P8_N_OFF,M0,0.0,2020,W1,9275,14540.0,5265.0,2020183,2020234,25006,428.9,439,19.8
SRAD19P8_N_OFF,M0,0.0,2020,W2,11100,14539.0,3439.0,2020183,2020234,25000,428.9,472,19.8
SRAD19P8_N_OFF,M0,0.0,2020,W3,12030,14539.0,2509.0,2020183,2020234,25001,428.9,506,19.8
SRAD19P8_N_OFF,M0,0.0,2020,W4,11595,14539.0,2944.0,2020183,2020234,25003,428.9,540,19.8
SRAD19P8_N_OFF,H0TT,0.0,2019,W1,9250,10901.0,1651.0,2019182,2019229,19792,441.5,439,19.9
SRAD19P8_N_OFF,H0TT,0.0,2019,W2,10725,10901.0,176.0,2019182,2019229,19792,441.6,472,19.9
SRAD19P8_N_OFF,H0TT,0.0,2019,W3,12490,10901.0,-1589.0,2019182,2019229,19792,441.6,506,19.9
SRAD19P8_N_OFF,H0TT,0.0,2019,W4,12030,10901.0,-1129.0,2019182,2019229,19792,441.6,540,19.9
SRAD19P8_N_OFF,H0TT,0.0,2020,W1,9275,14872.0,5597.0,2020183,2020233,25082,424.3,439,19.8
SRAD19P8_N_OFF,H0TT,0.0,2020,W2,11100,14871.0,3771.0,2020183,2020233,25078,424.4,472,19.8
SRAD19P8_N_OFF,H0TT,0.0,2020,W3,12030,14871.0,2841.0,2020183,2020233,25079,424.4,506,19.8
SRAD19P8_N_OFF,H0TT,0.0,2020,W4,11595,14872.0,3277.0,2020183,2020233,25080,424.4,540,19.8
