mode,arm,DTRc_C,alpha,split,DTR_bin,n,rmse,mae,mbe,r2
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14-<14.3,334,3.106272773965136,1.8407587307067943,0.5850224243238654,0.7861733498140601
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14.3-<14.5,151,2.2449653285580538,1.3336628647254725,-0.1740355391113278,0.8592339928247613
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14.5-<14.8,279,2.5191986781743623,1.5401624066824093,-0.19427781499709543,0.8615658763838198
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14.8-<15,168,2.2403450256369406,1.4623028564245166,-0.2793738396336615,0.8991316151201558
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,15-<18,594,4.338049942139003,2.685858435294921,0.4407383111340768,0.6936281135791125
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,18-<20,71,8.003093814460643,6.448475374681384,2.7442397553360416,0.10388008696493164
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,>=20,24,11.753818718827153,9.638134796703573,3.802625309480599,0.00517116754332769
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,13-<14,719,2.636243814229604,1.8416588051429625,-0.059078856664545924,0.8452788791113561
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.1427611276843708,2.168845369357789,-0.0519631627569127,0.7335956554347556
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.43323117983065,1.6876137256505117,-0.374123980162921,0.8543979035136126
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.814664286852873,2.1448606922234537,-1.210096477526639,0.8130596217826367
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.2865360338413176,2.6354731283384387,-0.4937473459767603,0.7964649573787845
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,15-<18,856,4.437676442905362,3.2230930799090567,-0.1245269703235977,0.6555535289010709
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,18-<20,72,5.685163294036315,4.552650704536802,-0.9416848466497709,0.5000648602478598
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,13-<14,719,2.6995951561893343,1.865395581698176,0.04922565326466859,0.837528853673444
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.2293266706617887,2.208324219890531,0.1020309765093663,0.7194268527767687
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.4542689482724356,1.666038016438524,-0.24301850102901457,0.8502963976976768
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.745013534559978,2.096975325088113,-1.0133719555157377,0.8077323593570535
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.2528344880922435,2.5491081091468697,-0.2544342960395471,0.7921338875701892
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,15-<18,856,4.4156992694340955,3.1931869143134253,0.009136138100323583,0.6565360700951948
